Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1657895182,Device: id=1,RX,0.11384277192207,322.55186521707,340.76670872461,116678,41323334
1657895183,Device: id=1,RX,0.17647984631506,500.00189763531,528.23867304572,293214,103843458
1657895184,Device: id=1,RX,0.1766116683169,499.9868041522,528.2446710829,469857,166352896
1657895185,Device: id=1,RX,0.17701815618128,499.98659718654,528.30950217554,646883,228853990
1657895186,Device: id=1,RX,0.17753786824793,499.9915164473,528.39757536697,824423,291353680
1657895187,Device: id=1,RX,0.17673605676169,499.98203335079,528.25980243266,1001191,353862730
1657895188,Device: id=1,RX,0.17669239545619,499.98818895965,528.25897223264,1177931,416378092
1657895189,Device: id=1,RX,0.17640995342398,499.98641878456,528.21201133239,1354381,478890582
1657895190,Device: id=1,RX,0.17750588817129,499.98274884433,528.38369095174,1531921,541400436
1657895191,Device: id=1,RX,0.18569702313541,526.95080584201,556.66232954367,1717651,607280984
1657895192,Device: id=1,RX,0.35361914319214,999.96152320132,1056.5405861121,2071281,732280012
1657895193,Device: id=1,RX,0.35387392732378,999.96986653296,1056.5896949048,2425200,857292166
1657895194,Device: id=1,RX,0.35433836063952,999.9725206571,1056.6666583594,2779575,982301656
1657895195,Device: id=1,RX,0.35381657254948,999.97215571947,1056.5828073274,3133401,1107301506
1657895196,Device: id=1,RX,0.35431359950694,999.96873564667,1056.6589115678,3487767,1232316084
1657895197,Device: id=1,RX,0.35247261334529,999.9737926937,1056.3694108289,3840254,1357317910
1657895198,Device: id=1,RX,0.35271979149568,999.9717253479,1056.4068919872,4192991,1482320474
1657895199,Device: id=1,RX,0.3528346374858,999.97006358054,1056.4236055783,4545855,1607327134
1657895200,Device: id=1,RX,0.3524895780802,999.97661503291,1056.3749475257,4898403,1732344928
1657895201,Device: id=1,RX,0.37408695782736,1054.5916145137,1114.4455277661,5272514,1864177352
1657895202,Device: id=1,RX,0.70607713149571,1998.8499099582,2111.8222509976,5978652,2114055130
1657895203,Device: id=1,RX,0.70710741262804,1998.9459704433,2112.0831564637,6685804,2363939132
1657895204,Device: id=1,RX,0.70796916329695,1999.6060341616,2112.8811002891,7393799,2613899008
1657895205,Device: id=1,RX,0.7061142399644,1998.6325500934,2111.6108284877,8099954,2863742498
1657895206,Device: id=1,RX,0.70582277814116,1999.2007900298,2112.1324345324,8805826,3113660024
1657895207,Device: id=1,RX,0.70736499767406,1999.6952123669,2112.8736119948,9513217,3363631114
1657895208,Device: id=1,RX,0.70781290255659,1998.8058000145,2112.0558644236,10221069,3613495640
1657895209,Device: id=1,RX,0.70671519864278,1999.3735252944,2112.4479570772,10927846,3863439186
1657895210,Device: id=1,RX,0.70721745838983,1999.2930327101,2112.4478260525,11635119,4113370442
1657895211,Device: id=1,RX,0.72651427857193,2054.35154988,2170.5938344515,12361665,4370175598
1657895212,Device: id=1,RX,1.0605363900724,2995.6105601244,3165.296382536,13422249,4744643728
1657895213,Device: id=1,RX,1.0605441730843,2995.9838616747,3165.6709293682,14482847,5119160718
1657895214,Device: id=1,RX,1.0594016078117,2994.9112144033,3164.4154716532,15542256,5493527232
1657895215,Device: id=1,RX,1.0632858781234,2996.5241534971,3166.6498939969,16605571,5868103010
1657895216,Device: id=1,RX,1.0593934863987,2995.2006095458,3164.7035673696,17664995,6242513870
1657895217,Device: id=1,RX,1.0595657751619,2995.6804534189,3165.2109774448,18724568,6616976480
1657895218,Device: id=1,RX,1.0603590806232,2995.3319733919,3164.9894262917,19784954,6991402482
1657895219,Device: id=1,RX,1.0598672542503,2995.2438056358,3164.8225663158,20844837,7365813520
1657895220,Device: id=1,RX,1.0579726372339,2993.7159020997,3162.9915240571,21902879,7740052542
1657895221,Device: id=1,RX,1.0803652933795,3051.3241950154,3224.1826419561,22983295,8121485968
1657895222,Device: id=1,RX,1.4083574595425,3984.1899159218,4209.5271094486,24391702,8619527226
1657895223,Device: id=1,RX,1.4094728503097,3984.8495800311,4210.3652360806,25801179,9117634890
1657895224,Device: id=1,RX,1.4056561948853,3976.5167812676,4201.4217724493,27206884,9614716746
1657895225,Device: id=1,RX,1.4074738577081,3984.4080078536,4209.6038250869,28614411,10112786552
1657895226,Device: id=1,RX,1.4078608371457,3985.7809953216,4211.0387292649,30022290,10611015604
1657895227,Device: id=1,RX,1.4087800521987,3986.437594617,4211.8424029688,31431080,11109323822
1657895228,Device: id=1,RX,1.4069524391744,3983.3879958363,4208.5003861042,32838053,11607254598
1657895229,Device: id=1,RX,1.4096497833775,3985.8416359019,4211.3856012423,34247730,12105494422
1657895230,Device: id=1,RX,1.4095815748274,3983.4233654394,4208.9564174118,35657337,12603431324
1657895231,Device: id=1,RX,1.4277178023926,4036.3569242746,4264.7917726574,37085077,13107983784
1657895232,Device: id=1,RX,1.7606322848121,4977.9569037935,5259.6580693634,38845713,13730229710
1657895233,Device: id=1,RX,1.7583990114645,4975.9521385732,5257.2959804075,40604146,14352235750
1657895234,Device: id=1,RX,1.7613122171986,4977.4379003695,5259.2478551213,42365491,14974427068
1657895235,Device: id=1,RX,1.7579329360986,4975.8037138453,5257.0729836211,44123439,15596407862
1657895236,Device: id=1,RX,1.7600008905693,4977.8831319136,5259.4832744046,45883471,16218654252
1657895237,Device: id=1,RX,1.7574323743349,4978.0205068812,5259.2096867748,47640949,16840922970
1657895238,Device: id=1,RX,1.7635509581338,4977.2236694613,5259.3918227627,49404516,17463081588
1657895239,Device: id=1,RX,1.7548941237131,4969.8828297369,5250.665889531,51159458,18084333890
1657895240,Device: id=1,RX,1.7588519262866,4976.7705276029,5258.1868358088,52918369,18706451100
1657895241,Device: id=1,RX,1.7797736917983,5028.4201923741,5313.1839830618,54698168,19335012562
1657895242,Device: id=1,RX,2.1122583170732,5976.5221204717,6314.4834512034,56810479,20082096460
1657895243,Device: id=1,RX,2.1131769495536,5978.035220358,6316.1435322866,58923657,20829351234
1657895244,Device: id=1,RX,2.1101195330887,5977.1066395162,6314.7257648104,61033787,21576493270
1657895245,Device: id=1,RX,2.1167435969781,5975.2687982728,6313.9477737893,63150559,22323411892
1657895246,Device: id=1,RX,2.1148707808672,5978.2720429629,6316.6513679016,65265468,23070709402
1657895247,Device: id=1,RX,2.1122671237127,5975.7565176174,6313.7192574115,67377754,23817685642
1657895248,Device: id=1,RX,2.1080415293068,5969.6834990617,6306.9701437508,69485796,24563896246
1657895249,Device: id=1,RX,2.1113146477176,5975.6052028184,6313.4155464532,71597162,25310865064
1657895250,Device: id=1,RX,2.1138265939221,5976.8513632912,6315.0636183188,73710996,26057974102
1657895251,Device: id=1,RX,2.1334241314507,6032.7484156095,6374.0962766416,75844479,26812088462
1657895252,Device: id=1,RX,2.4597656860129,6953.4728126467,7347.0353224087,78304299,27681291756
1657895253,Device: id=1,RX,2.4618233408665,6969.1279279822,7363.0196625208,80766139,28552438642
1657895254,Device: id=1,RX,2.463497195237,6965.8561771226,7360.0157283605,83229682,29423186854
1657895255,Device: id=1,RX,2.460605657343,6967.4800747747,7361.1769799495,85690301,30294126586
1657895256,Device: id=1,RX,2.4606343961772,6966.947932559,7360.6494359474,88150952,31165000954
1657895257,Device: id=1,RX,2.4632297782197,6967.470581018,7361.5873455332,90614222,32035948998
1657895258,Device: id=1,RX,2.4645046910816,6967.3957103557,7361.7164609287,93078771,32906889120
1657895259,Device: id=1,RX,2.462812671701,6963.428943729,7357.4789712012,95541619,33777330224
1657895260,Device: id=1,RX,2.4618738137338,6967.015293656,7360.9151038534,98003515,34648214984
1657895261,Device: id=1,RX,2.5100970130943,7103.6994298138,7505.3149519088,100513637,35536186252
1657895262,Device: id=1,RX,3.3008432212357,9320.2501688757,9848.3850842734,103814540,36701238622
1657895263,Device: id=1,RX,3.3233615926976,9389.352295313,9921.0901501446,107137929,37874917338
1657895264,Device: id=1,RX,3.3247570530322,9400.1169331579,9932.0780616431,110462737,39049949960
1657895265,Device: id=1,RX,3.320892381349,9396.24399466,9927.5867756759,113783699,40224505082
1657895266,Device: id=1,RX,3.3231534878833,9397.02251547,9928.7270735313,117106867,41399138026
1657895267,Device: id=1,RX,3.3247700746445,9398.8495062625,9930.8127182056,120431640,42573995248
1657895268,Device: id=1,RX,3.3223728625856,9399.1215785831,9930.7012365968,123754056,43748900700
1657895269,Device: id=1,RX,3.3174331566316,9388.235932949,9919.0252380101,127071545,44922449946
1657895270,Device: id=1,RX,3.3241227807973,9400.7398664172,9932.5995113448,130395714,46097558768
1657895271,Device: id=1,RX,3.3225134249214,9397.2566742167,9928.8588222041,133718293,47272239036
1657895272,Device: id=1,RX,3.3233916390758,9394.0168635557,9925.7595258078,137041720,48446503638
1657895273,Device: id=1,RX,3.3013962774272,9329.8550264977,9858.0784308861,140343162,49612751668
1657895274,Device: id=1,RX,3.3237690395401,9400.4580590719,9932.2611053983,143666934,50787809972
1657895275,Device: id=1,RX,3.3239391951493,9397.4912476534,9929.3215188773,146990878,51962498076
1657895276,Device: id=1,RX,3.3237676072585,9398.7234334323,9930.5262505936,150314646,53137338644
1657895277,Device: id=1,RX,3.3227323098854,9398.9586429655,9930.5958125471,153637433,54312227812
1657895278,Device: id=1,RX,3.3203602748901,9396.3840530406,9927.641697023,156957837,55486791286
1657895279,Device: id=1,RX,3.3208783277637,9375.7288759544,9907.0694083966,160278724,56658760456
1657895280,Device: id=1,RX,3.322402096353,9395.695529282,9927.2798646985,163601172,57833238624
1657895281,Device: id=1,RX,3.2737472874145,9265.2553219968,9789.0548879831,166874987,58991419494
1657895282,Device: id=1,RX,2.4615605529504,6967.1814212255,7361.0311096976,169336567,59862324052
1657895283,Device: id=1,RX,2.4572945677557,6956.6202320616,7349.7873629025,171793894,60731913058
1657895284,Device: id=1,RX,2.4628427292025,6957.1094231489,7351.1642598213,174256761,61601560306
1657895285,Device: id=1,RX,2.4647457701885,6967.6958918486,7362.0552150788,176721516,62472525554
1657895286,Device: id=1,RX,2.4621255332542,6967.0106478371,7360.9507331578,179183656,63343407002
1657895287,Device: id=1,RX,2.46049306246,6965.0831677318,7358.7620577254,181644226,64214069622
1657895288,Device: id=1,RX,2.4627297579245,6966.685420196,7360.7221814639,184106969,65084909982
1657895289,Device: id=1,RX,2.4631688477112,6962.7019473657,7356.8089629995,186570152,65955252726
1657895290,Device: id=1,RX,2.4631052538093,6964.9249467453,7359.0217873548,189033314,66825888402
1657895291,Device: id=1,RX,2.4450751120425,6910.6063581104,7301.8183760372,191478450,67689735708
1657895292,Device: id=1,RX,2.1110127955788,5977.3660529046,6315.1281001972,193589512,68436923880
1657895293,Device: id=1,RX,2.1162968111757,5978.3262341037,6316.9337238918,195705854,69184230616
1657895294,Device: id=1,RX,2.111599327136,5970.3746100346,6308.2305023763,197817503,69930544998
1657895295,Device: id=1,RX,2.1152239855344,5979.6991261036,6318.1349637891,199932781,70678026476
1657895296,Device: id=1,RX,2.1122274667246,5976.9455665768,6314.9019612527,202045059,71425162546
1657895297,Device: id=1,RX,2.1116427841701,5978.1516375887,6316.0144830559,204156711,72172434762
1657895298,Device: id=1,RX,2.1137548911839,5976.1028456357,6314.3036282251,206270473,72919450130
1657895299,Device: id=1,RX,2.1131556733468,5969.8940637206,6307.9989714561,208383670,73665701482
1657895300,Device: id=1,RX,2.1135079775452,5978.6199979223,6316.7812743295,210497197,74413035708
1657895301,Device: id=1,RX,2.0936565296484,5919.1457952408,6254.1308399846,212590865,75152932986
1657895302,Device: id=1,RX,1.7601265764599,4978.2080180915,5259.828270325,214350992,75775209138
1657895303,Device: id=1,RX,1.7613638176402,4977.2638026766,5259.082013499,216112366,76397370710
1657895304,Device: id=1,RX,1.7600343270597,4972.2056788023,5253.8111711318,217872435,77018908664
1657895305,Device: id=1,RX,1.7619694902651,4977.2049961209,5259.1201145633,219634410,77641061234
1657895306,Device: id=1,RX,1.7605371710855,4979.279965771,5260.9659131447,221394984,78263484250
1657895307,Device: id=1,RX,1.7611013765261,4976.9165745702,5258.6927948143,223156145,78885619884
1657895308,Device: id=1,RX,1.7607797597125,4972.280128255,5254.004889809,224916999,79507181106
1657895309,Device: id=1,RX,1.7629091498728,4979.5599185635,5261.6253825431,226679922,80129630986
1657895310,Device: id=1,RX,1.7572145981143,4975.3910594279,5256.5453951262,228437146,80751558196
1657895311,Device: id=1,RX,1.7383127628123,4922.5875940861,5200.7176361361,230175513,81366900844
1657895312,Device: id=1,RX,1.4097924954272,3986.6810621091,4212.2478613775,231585339,81865247820
1657895313,Device: id=1,RX,1.4074948820174,3985.5816210641,4210.7808021869,232992844,82363449104
1657895314,Device: id=1,RX,1.4114510485478,3985.7147049929,4211.5468727606,234404345,82861681074
1657895315,Device: id=1,RX,1.407617607094,3982.4450647509,4207.6638818859,235812009,83359503114
1657895316,Device: id=1,RX,1.408975240079,3985.9143722574,4211.35041067,237221004,83857749398
1657895317,Device: id=1,RX,1.4108806917636,3986.8353272148,4212.5762378969,238631886,84356104276
1657895318,Device: id=1,RX,1.4088905853146,3984.2938921824,4209.7163858328,240040803,84854150350
1657895319,Device: id=1,RX,1.4091694305913,3985.0716350454,4210.53874394,241450004,85352295464
1657895320,Device: id=1,RX,1.409006150815,3983.581998595,4209.0229827254,242859031,85850250582
1657895321,Device: id=1,RX,1.3883689992804,3929.7400864855,4151.8791263704,244247437,86341481184
1657895322,Device: id=1,RX,1.0583519252941,2996.9431810395,3166.2794890866,245305791,86716099816
1657895323,Device: id=1,RX,1.0588836868117,2996.3948956983,3165.8162855882,246364692,87090655302
1657895324,Device: id=1,RX,1.0595835051845,2995.9322840542,3165.4656448837,247424319,87465162210
1657895325,Device: id=1,RX,1.0596390454063,2994.8642937406,3164.4065410056,248483973,87839525530
1657895326,Device: id=1,RX,1.0595183173853,2995.3429366344,3164.865867416,249543499,88213946112
1657895327,Device: id=1,RX,1.0599546370587,2996.8454291675,3166.4381710968,250603483,88588562168
1657895328,Device: id=1,RX,1.0592882325245,2997.0814444447,3166.5675616486,251662832,88963218840
1657895329,Device: id=1,RX,1.0605714047843,2996.9999922813,3166.6914170468,252723442,89337857472
1657895330,Device: id=1,RX,1.0588005631716,2995.5432709253,3164.9513610328,253782298,89712319986
1657895331,Device: id=1,RX,1.0412664716064,2940.6923954378,3107.2950308948,254823567,90079907428
1657895332,Device: id=1,RX,0.70814957602319,1999.7991787201,2113.1031108838,255531718,90329882828
