Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1658052567,Device: id=1,RX,0.060011471575616,170.50437838351,180.10621383561,61617,21883250
1658052568,Device: id=1,RX,0.17683356299174,500.00575908573,528.29912916441,238466,84389426
1658052569,Device: id=1,RX,0.17816484820361,499.99268031739,528.49905602997,416676,146904350
1658052570,Device: id=1,RX,0.17622282892364,499.98512568686,528.18077831465,592903,209403970
1658052571,Device: id=1,RX,0.17630745209562,499.98874761751,528.19793995281,769224,271907366
1658052572,Device: id=1,RX,0.17714486009236,499.99424994131,528.33742755609,946410,334421162
1658052573,Device: id=1,RX,0.17709490837434,499.98908032259,528.32426566248,1123565,396941004
1658052574,Device: id=1,RX,0.17556156592914,499.98918112218,528.07903167085,1299150,459447994
1658052575,Device: id=1,RX,0.17670176423955,499.98465720793,528.25693948626,1475857,521947928
1658052576,Device: id=1,RX,0.18715417954203,528.76644778033,558.71111650706,1663026,588048968
1658052577,Device: id=1,RX,0.35385449899199,999.97502598626,1056.591745825,2016917,713058740
1658052578,Device: id=1,RX,0.35326755589416,999.96359433202,1056.4864032751,2370199,838059300
1658052579,Device: id=1,RX,0.35304397581994,999.97048683981,1056.457522971,2723254,963059514
1658052580,Device: id=1,RX,0.35347086992615,999.97640531483,1056.531744503,3076759,1088068634
1658052581,Device: id=1,RX,0.35411074421754,999.97880594558,1056.6365250204,3430873,1213067134
1658052582,Device: id=1,RX,0.35329611323451,999.97280994196,1056.5001880595,3784185,1338069356
1658052583,Device: id=1,RX,0.3532481591065,999.97770197606,1056.4974074331,4137436,1463067574
1658052584,Device: id=1,RX,0.35359433971301,999.96898060583,1056.5440749599,4491039,1588066758
1658052585,Device: id=1,RX,0.35406442531772,999.99290609168,1056.6432141425,4845125,1713073488
1658052586,Device: id=1,RX,0.37312013601438,1057.8856741146,1117.5848958769,5218272,1845318718
1658052587,Device: id=1,RX,0.70607543621123,1996.1227302402,2109.094800034,5924391,2094849454
1658052588,Device: id=1,RX,0.70573941125131,1996.1318135273,2109.0501193275,6630209,2344393716
