Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1658068786,Device: id=0,TX,0.14518782984903,410.92508117925,434.15513395509,147609,52225200
1658068787,Device: id=0,TX,0.64410610608998,1821.4220104273,1924.4789874017,791776,279924476
1658068788,Device: id=0,TX,0.70752956640468,1999.9446625632,2113.149393188,1499330,529926192
1658068789,Device: id=0,TX,0.70794960601767,1999.94212317,2113.2140601328,2207333,779937812
1658068790,Device: id=0,TX,0.70742000146095,1999.9525294841,2113.1397297179,2914759,1029933998
1658068791,Device: id=0,TX,0.70575011997226,1999.9343918107,2112.8544110062,3620552,1279940986
1658068792,Device: id=0,TX,0.70769455541162,1999.9433956943,2113.1745245602,4328297,1529951730
1658068793,Device: id=0,TX,0.70734099864535,1999.9560007459,2113.1305605291,5035660,1779954006
1658068794,Device: id=0,TX,0.7087603533318,1999.9390938456,2113.3407503787,5744431,2029950148
1658068795,Device: id=0,TX,0.70842843349565,1999.9504414503,2113.2989908096,6452913,2279962856
1658068796,Device: id=0,TX,0.70698235871834,1999.9674506471,2113.0846280421,7159927,2529969976
1658068797,Device: id=0,TX,0.70604798242186,1999.9105910321,2112.8782682196,7866003,2779968720
1658068798,Device: id=0,TX,0.70745615698363,1999.9438205035,2113.1368056209,8573494,3029974010
1658068799,Device: id=0,TX,0.70693193869946,1999.1212250939,2112.2303352859,9280447,3279871608
1658068800,Device: id=0,TX,0.70751045371228,1999.9327206593,2113.1343932533,9987993,3529875758
1658068801,Device: id=0,TX,0.70640622804267,1999.9505207393,2112.9755172262,10694460,3779891080
1658068802,Device: id=0,TX,0.7094539560923,1999.9283168348,2113.4409498095,11403965,4029900106
1658068803,Device: id=0,TX,0.70792638348038,1999.947148272,2113.2153696288,12111905,4279898308
1658068804,Device: id=0,TX,0.7056256658751,1999.9436519126,2112.8437584526,12817570,4529905200
1658068805,Device: id=0,TX,0.70736854357368,1999.9455579414,2113.1245249132,13524997,4779919054
1658068806,Device: id=0,TX,0.70839785081167,1999.9482356531,2113.291891783,14233446,5029930634
1658068807,Device: id=0,TX,0.707664170481,1999.940533839,2113.166801116,14941127,5279929146
1658068808,Device: id=0,TX,0.70615845183971,1999.9447007321,2112.9300530264,15647305,5529929154
1658068809,Device: id=0,TX,0.70570724261615,1999.9490115383,2112.8621703569,16353067,5779942178
1658068810,Device: id=0,TX,0.70590313989259,1999.9395090546,2112.8840114374,17058990,6029941650
1658068811,Device: id=0,TX,0.70700505160598,1999.9454069532,2113.0662152102,17765999,6279936222
1658068812,Device: id=0,TX,0.7073486638646,1999.9409177255,2113.1167039439,18473361,6529933550
1658068813,Device: id=0,TX,0.70611084562758,1999.9507819328,2112.9285172332,19179509,6779940552
1658068814,Device: id=0,TX,0.70638479948525,1999.9514675757,2112.9730354934,19885941,7029951190
1658068815,Device: id=0,TX,0.70924391118961,1999.9373266751,2113.4163524654,20595191,7279945502
1658068816,Device: id=0,TX,0.70693208370241,1999.9402390912,2113.0493724836,21302140,7529944014
1658068817,Device: id=0,TX,0.70716822729552,1999.9523907036,2113.0993070709,22009309,7779938336
1658068818,Device: id=0,TX,0.70694922460861,1999.937805234,2113.0496811714,22716285,8029940030
1658068819,Device: id=0,TX,0.70712308667702,1999.2196359169,2112.3593297852,23423455,8279859064
1658068820,Device: id=0,TX,0.7067352253823,1999.9423269762,2113.0199630374,24130209,8529858496
1658068821,Device: id=0,TX,0.70707880948336,1999.9579277012,2113.0905372185,24837316,8779863204
1658068822,Device: id=0,TX,0.70835439935172,1999.9356835175,2113.2723874138,25545701,9029865964
1658068823,Device: id=0,TX,0.70832256039382,1999.932263527,2113.26387319,26254056,9279868946
1658068824,Device: id=0,TX,0.70751932395187,1999.9497302698,2113.1528221021,26961611,9529875268
1658068825,Device: id=0,TX,0.70793570458959,1999.953707351,2113.2234200853,27669549,9779870292
1658068826,Device: id=0,TX,0.7071542168224,1999.9340378198,2113.0787125114,28376782,10029889898
1658068827,Device: id=0,TX,0.68311045822558,1934.4639414715,2043.7616147875,29060855,10272038612
