Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1658150060,Device: id=1,RX,0.059000896407757,167.50041997751,176.94056340275,60797,21575148
1658150061,Device: id=1,RX,0.17709554156526,500.00164969182,528.33693634226,237954,84097044
1658150062,Device: id=1,RX,0.17644788744682,499.9833736441,528.21503563559,414464,146616966
1658150063,Device: id=1,RX,0.17692454321424,499.98728917709,528.29521609137,591395,209117658
1658150064,Device: id=1,RX,0.17727840955252,499.98612664386,528.35067217226,768744,271640810
1658150065,Device: id=1,RX,0.17741887720552,499.99085050513,528.37787085802,946217,334158732
1658150066,Device: id=1,RX,0.17666518361508,499.99312254869,528.2595519271,1122923,396672312
1658150067,Device: id=1,RX,0.17718513361941,499.97864429942,528.32826567853,1300142,459181588
1658150068,Device: id=1,RX,0.17643015340597,499.98251090608,528.21133545104,1476625,521698122
1658150069,Device: id=1,RX,0.18766860127364,532.26009076165,562.28706696543,1664308,588235738
1658150070,Device: id=1,RX,0.35377452811537,999.95732412243,1056.5612486209,2018098,713235870
1658150071,Device: id=1,RX,0.35391968680008,999.96897105728,1056.5961209453,2372086,838256118
1658150072,Device: id=1,RX,0.35179080199763,999.96561616475,1056.2521444844,2723895,963258286
1658150073,Device: id=1,RX,0.35437706072185,999.97044024177,1056.6707699573,3078328,1088274322
1658150074,Device: id=1,RX,0.35402236329548,999.96878558156,1056.6123637088,3432378,1213280178
1658150075,Device: id=1,RX,0.35407465118443,999.97071761852,1056.622661808,3786460,1338279112
1658150076,Device: id=1,RX,0.35425262242503,999.96860814615,1056.6490277342,4140766,1463294022
1658150077,Device: id=1,RX,0.35330858672831,999.96973481038,1056.4991086869,4494080,1588292154
1658150078,Device: id=1,RX,0.35361318657478,999.97868974114,1056.5567995931,4847748,1713308866
1658150079,Device: id=1,RX,0.3772135087963,1065.3924893996,1125.7466508071,5224992,1846493692
1658150080,Device: id=1,RX,0.70574482427259,1995.3218724414,2108.241044325,5930771,2095921004
1658150081,Device: id=1,RX,0.70600112198222,1996.6318724604,2109.5920519775,6636778,2345502066
1658150082,Device: id=1,RX,0.70622125028554,1998.0756107152,2111.0710107609,7343077,2595289014
1658150083,Device: id=1,RX,0.70592948895131,1995.359899789,2108.3086180212,8049066,2844730028
1658150084,Device: id=1,RX,0.70589519809824,1995.9214409275,2108.8646726232,8755011,3094237810
1658150085,Device: id=1,RX,0.70506341135516,1995.7470886018,2108.5572344186,9460077,3343707112
1658150086,Device: id=1,RX,0.70595328359276,1996.0715351434,2109.0240605183,10166079,3593233272
1658150087,Device: id=1,RX,0.70513550676921,1995.1091048795,2107.9307859625,10871229,3842627036
1658150088,Device: id=1,RX,0.70919897685334,1995.2892244718,2108.7610607684,11580438,4092041714
1658150089,Device: id=1,RX,0.72964362438466,2061.6132320332,2178.3562119347,12310105,4349751624
1658150090,Device: id=1,RX,1.0572394787451,2990.5166729654,3159.6749895646,13367346,4723566746
1658150091,Device: id=1,RX,1.0571522979031,2989.8395579258,3158.9839255903,14424501,5097297646
1658150092,Device: id=1,RX,1.0573886531578,2990.7424004456,3159.9245849509,15481896,5471142690
1658150093,Device: id=1,RX,1.0543093920792,2989.5521180068,3158.2416207394,16536237,5844847908
1658150094,Device: id=1,RX,1.0570981008615,2990.3306590953,3159.4663552331,17593392,6218659360
1658150095,Device: id=1,RX,1.0591793348796,2990.2827965327,3159.7514901134,18652585,6592449532
1658150096,Device: id=1,RX,1.0572520364356,2991.2993735386,3160.4596993683,19709899,6966383868
1658150097,Device: id=1,RX,1.0579309058522,2989.621180033,3158.8901249693,20767831,7340086902
1658150098,Device: id=1,RX,1.056372254835,2990.351958209,3159.3715189826,21824220,7713886822
1658150099,Device: id=1,RX,1.0799650956771,3056.0750570287,3228.869472337,22904215,8095906782
1658150100,Device: id=1,RX,1.4083921893299,3980.2239743856,4205.5667246784,24312642,8593447076
1658150101,Device: id=1,RX,1.4070710341565,3976.400713722,4201.5320791871,25719776,9090519408
1658150102,Device: id=1,RX,1.4056021345576,3977.8788858634,4202.7752273926,27125431,9587772970
1658150103,Device: id=1,RX,1.4058029109647,3980.0536703465,4204.9821361008,28531275,10085294220
1658150104,Device: id=1,RX,1.4067727138017,3979.8672298751,4204.9508640833,29938067,10582784444
1658150105,Device: id=1,RX,1.4044497544728,3978.950892831,4203.6628535467,31342571,11080172516
1658150106,Device: id=1,RX,1.4071918385841,3979.5539272076,4204.7046213811,32749791,11577626712
1658150107,Device: id=1,RX,1.4059497131978,3979.5844267034,4204.536380815,34155789,12075091850
