Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1683671028,Device: id=1,RX,0,0,0,0,0
1683671029,Device: id=1,RX,0,0,0,0,0
1683671030,Device: id=1,RX,1.0362196888918,2918.6836870782,3084.4788373009,1036239,364842260
1683671031,Device: id=1,RX,1.7583455910179,4974.0044495067,5255.3397440696,2794602,986598972
1683671032,Device: id=1,RX,1.7592558117124,4973.9976505121,5255.4785803861,4553928,1608373484
1683671033,Device: id=1,RX,1.7565248633228,4974.2895662349,5255.3335443665,6310465,2230163976
1683671034,Device: id=1,RX,1.7588938991678,4975.1667398262,5256.5897636931,8069378,2852066572
1683671035,Device: id=1,RX,1.7581451564407,4975.2420540751,5256.5452791056,9827565,3473986630
1683671036,Device: id=1,RX,1.7577166521089,4974.6961101224,5255.9307744598,11585357,4095850300
1683671037,Device: id=1,RX,1.761376680854,4973.3721180226,5255.1923869593,13346760,4717531104
1683671038,Device: id=1,RX,1.7588826945644,4975.0371263455,5256.4583574758,15105677,5339422874
1683671039,Device: id=1,RX,1.7376461152701,4909.5332873536,5187.5566657968,16843362,5953128268
1683671040,Device: id=1,RX,1.7572898526892,4975.4390825816,5256.6054590119,18600669,6575064222
1683671041,Device: id=1,RX,1.7571138074159,4973.4617376752,5254.5999468618,20357811,7196756914
1683671042,Device: id=1,RX,1.7614901863378,4974.5269148785,5256.3653446926,22119376,7818599188
1683671043,Device: id=1,RX,1.7641498229806,4974.2454146524,5256.5093863293,23883563,8440392968
1683671044,Device: id=1,RX,1.7584801103421,4975.7075150634,5257.0643327182,25642116,9062382188
1683671045,Device: id=1,RX,1.7560554311351,4974.3491581113,5255.3180270929,27398240,9684200112
1683671046,Device: id=1,RX,1.7594937645989,4974.609263804,5256.1282661398,29157770,10306039076
1683671047,Device: id=1,RX,1.7592299579963,4971.9224863269,5253.3992796063,30917005,10927531168
1683671048,Device: id=1,RX,1.7580366155867,4974.7709846986,5256.0568431925,32675081,11549391472
1683671049,Device: id=1,RX,1.7534516348601,4961.651360611,5242.2036221886,34428578,12169613938
1683671050,Device: id=1,RX,1.7590214523814,4975.3860753403,5256.8295077213,36187680,12791565676
1683671051,Device: id=1,RX,1.7583739284733,4974.2670446407,5255.6068731964,37946064,13413352618
1683671052,Device: id=1,RX,1.7603054418057,4975.8544583705,5257.5033290594,39706404,14035346636
1683671053,Device: id=1,RX,1.7586349712889,4976.2850328359,5257.6666282421,41465050,14657386166
1683671054,Device: id=1,RX,1.7565703958333,4975.0249066759,5256.0761700093,43221647,15279273698
1683671055,Device: id=1,RX,1.7617644741988,4975.8881027855,5257.7704186573,44983423,15901263780
1683671056,Device: id=1,RX,1.759543913469,4976.3012185022,5257.8282446573,46742994,16523311008
1683671057,Device: id=1,RX,1.7581548625125,4971.9359163422,5253.2406943442,48501165,17144808702
1683671058,Device: id=1,RX,1.7586830673744,4976.0632138768,5257.4525046567,50259885,17766829666
1683671059,Device: id=1,RX,1.7573438689311,4971.3138866984,5252.4889057273,52017291,18388265872
1683671060,Device: id=1,RX,1.7549603915738,4964.5248257343,5245.3184883861,53772258,19008833812
1683671061,Device: id=1,RX,1.7589970775186,4975.3264247381,5256.765957141,55531268,19630754184
1683671062,Device: id=1,RX,1.7564208005611,4975.1974246852,5256.224752775,57287707,20252660306
1683671063,Device: id=1,RX,1.7577788103565,4971.678246068,5252.9228557251,59045490,20874121568
1683671064,Device: id=1,RX,1.7579263741488,4975.2479647697,5256.5161846335,60803439,21496035568
1683671065,Device: id=1,RX,1.7598749802718,4976.1152638893,5257.6952607327,62563348,22118062000
1683671066,Device: id=1,RX,1.7577372071545,4973.8666068969,5255.1045600416,64321094,22739798436
1683671067,Device: id=1,RX,1.7608287017602,4974.4516786323,5256.1842709139,66081952,23361615242
1683671068,Device: id=1,RX,1.7619397282624,4975.8396447215,5257.7500012435,67843948,23983615062
1683671069,Device: id=1,RX,1.7581782200056,4975.3047830716,5256.6132982725,69602170,24605543646
1683671070,Device: id=1,RX,1.7540776854175,4948.8558108345,5229.5082405013,71356276,25224160608
1683671071,Device: id=1,RX,1.7605010284249,4975.6117959175,5257.2919604655,73116811,25846124084
1683671072,Device: id=1,RX,1.7599248450022,4976.7055176262,5258.2934928266,74876794,26468232830
1683671073,Device: id=1,RX,1.7618789528639,4976.8076373745,5258.7082698328,76638703,27090344394
1683671074,Device: id=1,RX,1.7585219077162,4975.3282809657,5256.6917862003,78397236,27712264352
1683671075,Device: id=1,RX,1.7599702409652,4976.1400384986,5257.735277053,80157268,28334303684
1683671076,Device: id=1,RX,1.7617812194374,4974.9111599259,5256.7961550359,81919070,28956174914
1683671077,Device: id=1,RX,1.7610187212821,4974.513122301,5256.2761177062,83680092,29577990212
1683671078,Device: id=1,RX,1.7630327331248,4976.9877226851,5259.072959985,85443160,30200126122
1683671079,Device: id=1,RX,1.7600593642103,4975.388577641,5256.9980759146,87203243,30822058046
1683671080,Device: id=1,RX,1.7570407294237,4972.6831653486,5253.8096820563,88960290,31443645660
1683671081,Device: id=1,RX,1.7579901172698,4976.8631491818,5258.1415679449,90718329,32065770852
1683671082,Device: id=1,RX,1.7591210640304,4975.2133791878,5256.6727494327,92477458,32687675330
