Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1683671028,Device: id=0,TX,0.59002549716781,1670.1496891457,1764.5537686926,590061,208784376
1683671029,Device: id=0,TX,1.7244753367149,4872.5729636687,5148.489017543,2314580,817871418
1683671030,Device: id=0,TX,1.7616181512441,4984.4198904568,5266.2787946559,4076232,1440935876
1683671031,Device: id=0,TX,1.7585375289211,4974.0677435034,5255.4337481308,5834831,2062716078
1683671032,Device: id=0,TX,1.759070434068,4973.8978654817,5255.3491349326,7593962,2684474718
1683671033,Device: id=0,TX,1.7568944367439,4974.2962640502,5255.3993739292,9350861,3306263366
1683671034,Device: id=0,TX,1.7587237414171,4975.1866972317,5256.5824958584,11109612,3928171342
1683671035,Device: id=0,TX,1.758105678155,4975.3357185483,5256.6326270532,12867775,4550108584
1683671036,Device: id=0,TX,1.7581531806061,4974.5681390289,5255.8726479259,14625970,5171944392
1683671037,Device: id=0,TX,1.7610150637758,4973.3838296572,5255.1462398613,16387026,5793631822
1683671038,Device: id=0,TX,1.7590398137619,4975.1127665116,5256.5591367135,18146139,6415546792
1683671039,Device: id=0,TX,1.7573688693847,4968.993557118,5250.1725762195,19903538,7036681636
1683671040,Device: id=0,TX,1.7575907518884,4975.4568160674,5256.6713363696,21661169,7658627980
1683671041,Device: id=0,TX,1.7570113023774,4973.4845214711,5254.6063298515,23418193,8280318038
1683671042,Device: id=0,TX,1.7613019558234,4974.48373371,5256.2920466417,25179537,8902143348
1683671043,Device: id=0,TX,1.7636927561336,4974.2678790602,5256.4587200415,26943287,9523947014
1683671044,Device: id=0,TX,1.7591675857521,4975.7676476004,5257.2344613207,28702515,10145939330
1683671045,Device: id=0,TX,1.7558897390763,4974.3272289678,5255.26958722,30458456,10767748386
1683671046,Device: id=0,TX,1.7595184130893,4974.5675993236,5256.0905454179,32218041,11389592868
1683671047,Device: id=0,TX,1.7594239080918,4971.9339236547,5253.4417489494,33977495,12011095238
1683671048,Device: id=0,TX,1.7572636562654,4974.7445967805,5255.9067817829,35734807,12632955420
1683671049,Device: id=0,TX,1.7571230157663,4971.6427459457,5252.7824284684,37491960,13254421368
1683671050,Device: id=0,TX,1.7591186397362,4975.4047820296,5256.8637643874,39251099,13876354164
1683671051,Device: id=0,TX,1.7580538006861,4974.3226972876,5255.6113053973,41009177,14498153060
1683671052,Device: id=0,TX,1.760260703171,4975.8035051853,5257.4452176926,42769470,15120139910
1683671053,Device: id=0,TX,1.7589060640682,4976.2843505372,5257.7093207881,44528442,15742198772
1683671054,Device: id=0,TX,1.7564673121124,4974.9972618124,5256.0320317504,46284925,16364078984
1683671055,Device: id=0,TX,1.7617521127594,4975.9423796394,5257.8227176809,48046721,16986087276
1683671056,Device: id=0,TX,1.7601365041503,4976.3104998318,5257.9323404959,49806881,17608134392
1683671057,Device: id=0,TX,1.7574024637542,4971.9285700334,5253.1129642341,51564320,18229638384
1683671058,Device: id=0,TX,1.7585132456367,4976.0249768815,5257.3870961833,53322851,18851647786
1683671059,Device: id=0,TX,1.7590175490302,4976.3023465084,5257.7451543532,55081898,19473695994
1683671060,Device: id=0,TX,1.755207837204,4964.4404098024,5245.273663755,56837130,20094259588
1683671061,Device: id=0,TX,1.7592751305511,4975.2933073701,5256.7773282583,58596456,20716189234
1683671062,Device: id=0,TX,1.7565295714132,4975.2405891697,5256.2853205958,60353035,21338111808
1683671063,Device: id=0,TX,1.7572666130898,4971.629820834,5252.7924789284,62110343,21959580172
1683671064,Device: id=0,TX,1.7578760831875,4975.275744123,5256.535917433,63868231,22581493856
1683671065,Device: id=0,TX,1.7601389497375,4976.0911016744,5257.7133336324,65628392,23203513036
1683671066,Device: id=0,TX,1.7576052159171,4973.8956770544,5255.1125116011,67386025,23825259824
1683671067,Device: id=0,TX,1.7612134847264,4974.484840373,5256.2789979292,69147274,24447082968
1683671068,Device: id=0,TX,1.7614471298124,4975.8018935742,5257.6334343442,70908751,25069068752
1683671069,Device: id=0,TX,1.7586103602319,4975.3220971649,5256.699754802,72667402,25690998386
1683671070,Device: id=0,TX,1.7622537062104,4972.9246075358,5254.8852005295,74429708,26312632408
1683671071,Device: id=0,TX,1.7600591914491,4975.6286564536,5257.2381270855,76189774,26934588396
1683671072,Device: id=0,TX,1.7596622592137,4976.657620756,5258.2035822302,77949459,27556678638
1683671073,Device: id=0,TX,1.7622061160256,4976.8214814977,5258.7744600618,79711696,28178792226
1683671074,Device: id=0,TX,1.7587315976018,4975.3342411115,5256.7312967278,81470450,28800716928
1683671075,Device: id=0,TX,1.7601356708606,4976.1445510547,5257.7662583924,83230611,29422743948
1683671076,Device: id=0,TX,1.7617662000809,4974.905545747,5256.7881377599,84992403,30044616248
1683671077,Device: id=0,TX,1.7613224276222,4974.5110641198,5256.3226525394,86753750,30666438806
1683671078,Device: id=0,TX,1.7625278227178,4976.9844903259,5258.9889419607,88516309,31288572872
1683671079,Device: id=0,TX,1.7602534308938,4975.4391106074,5257.0796595504,90276601,31910516388
1683671080,Device: id=0,TX,1.7573254164506,4972.677934158,5253.8500007901,92033976,32532118668
1683671081,Device: id=0,TX,1.7573674349592,4976.8498561693,5258.0286457628,93791387,33154240322
1683671082,Device: id=0,TX,1.7595012084192,4975.2100120772,5256.7302054243,95550906,33776147862
1683671083,Device: id=0,TX,1.7590799241608,4975.5551105642,5257.0078984299,97310040,34398111370
1683671084,Device: id=0,TX,1.7611249485067,4976.1732200744,5257.9532118355,99071233,35020157058
1683671085,Device: id=0,TX,1.7585264521228,4975.8367657355,5257.2009980752,100829791,35642147812
1683671086,Device: id=0,TX,1.7590988014466,4976.831206673,5258.2870149045,102588893,36264252844
1683671087,Device: id=0,TX,1.7602390670193,4976.8599178711,5258.4981685942,104349184,36886378688
1683671088,Device: id=0,TX,1.7587000648222,4973.4769789176,5254.8689892892,106107934,37508080962
1683671089,Device: id=0,TX,1.757375422979,4976.0692613288,5257.2493290055,107865377,38130113538
1683671090,Device: id=0,TX,1.7604303551289,4972.6794208872,5254.3482777078,109625862,38751717760
1683671091,Device: id=0,TX,1.7589620334383,4975.1987287529,5256.6326541031,111384836,39373621832
1683671092,Device: id=0,TX,1.7587687800645,4976.3839900661,5257.7869948764,113143651,39995686178
1683671093,Device: id=0,TX,1.7563153826012,4964.4222022847,5245.4326635009,114899981,40616244118
1683671094,Device: id=0,TX,1.7604857511731,4975.9290940851,5257.6068142728,116660517,41238253008
1683671095,Device: id=0,TX,1.7606688806302,4976.190354354,5257.8973752548,118421226,41860290976
1683671096,Device: id=0,TX,1.7585181210505,4976.3689655014,5257.7318648695,120179751,42482339530
1683671097,Device: id=0,TX,1.7606683850623,4976.6337838024,5258.3407254123,121940488,43104442996
1683671098,Device: id=0,TX,1.7588143403707,4972.4318427796,5253.8421372389,123699312,43726000390
1683671099,Device: id=0,TX,1.7591215954265,4976.4013211658,5257.860776434,125458476,44348065550
1683671100,Device: id=0,TX,1.7614596664488,4975.6326041065,5257.4661507383,127219955,44970026452
1683671101,Device: id=0,TX,1.7594987383246,4973.6856056262,5255.2054037581,128979468,45591742192
1683671102,Device: id=0,TX,1.7590107161167,4976.0374344042,5257.4791489829,130738509,46213757580
1683671103,Device: id=0,TX,1.7599860832832,4975.7154979146,5257.3132712399,132498544,46835739304
1683671104,Device: id=0,TX,1.7603791580816,4976.1722918123,5257.8329571054,134258927,47457762198
1683671105,Device: id=0,TX,1.7588586014702,4976.0490460609,5257.4664222961,136017841,48079787920
1683671106,Device: id=0,TX,1.7595711908117,4976.0389998539,5257.5703903838,137777427,48701798030
1683671107,Device: id=0,TX,1.7598028507074,4976.9775322711,5258.5459883843,139537268,49323933708
1683671108,Device: id=0,TX,1.7585787908573,4973.1993131113,5254.5719196485,141295863,49945589352
1683671109,Device: id=0,TX,1.7580279173123,4976.3805849027,5257.6650516727,143053941,50567654646
1683671110,Device: id=0,TX,1.7639767199796,4976.053971774,5258.2902469707,144817942,51189669954
1683671111,Device: id=0,TX,1.7580061727975,4973.0940196711,5254.3750073187,146576022,51811332812
1683671112,Device: id=0,TX,1.7570522172634,4975.5271445004,5256.6554992625,148333079,52433275398
1683671113,Device: id=0,TX,1.7587924276721,4975.7397160892,5257.1465045167,150091929,53055263222
1683671114,Device: id=0,TX,1.7582395811171,4975.6264842018,5256.9448171806,151850202,53677228354
1683671115,Device: id=0,TX,1.75747769799,4975.0762801442,5256.2727118226,153607706,54299122196
1683671116,Device: id=0,TX,1.7591462000283,4975.8304676184,5257.293859623,155366907,54921120380
1683671117,Device: id=0,TX,1.7576849549428,4975.8526524075,5257.0822451983,157124603,55543105870
1683671118,Device: id=0,TX,1.7587623505387,4972.8443409679,5254.2463170541,158883391,56164720478
