Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1672857865,Device: id=1,RX,0,0,0,0,0
1672857866,Device: id=1,RX,0,0,0,0,0
1672857867,Device: id=1,RX,0,0,0,0,0
1672857868,Device: id=1,RX,0.21733050749311,613.82117220514,648.59405340404,217344,76732410
1672857869,Device: id=1,RX,0.35376011029653,999.94688904081,1056.5485066883,571134,201736332
1672857870,Device: id=1,RX,0.3517844853223,999.9692223838,1056.2547400354,922945,326741906
1672857871,Device: id=1,RX,0.35309067758069,999.94257561273,1056.4370840256,1276060,451743338
1672857872,Device: id=1,RX,0.35354017230143,999.96151620408,1056.5279437723,1629664,576761094
1672857873,Device: id=1,RX,0.35188801378322,999.96148027774,1056.2635624831,1981603,701774390
1672857874,Device: id=1,RX,0.38226520682711,1067.9163623952,1129.0787954875,2363887,835270498
1672857875,Device: id=1,RX,1.4358203629731,4046.8199667491,4276.5512248248,3799733,1341132026
1672857876,Device: id=1,RX,1.4981185639131,4227.547971689,4467.2469419151,5297876,1869584142
1672857877,Device: id=1,RX,1.492569429964,4227.9072762764,4466.7183850707,6790479,2398084438
1672857878,Device: id=1,RX,1.4954102329991,4228.8629641581,4468.1286014379,8285901,2926696468
1672857879,Device: id=1,RX,1.491256740344,4226.695198714,4465.2962771691,9777200,3455048340
1672857880,Device: id=1,RX,1.494053349003,4226.4589111368,4465.5074469772,11271300,3983372200
1672857881,Device: id=1,RX,1.4936309099349,4226.9736491746,4465.9545947642,12764979,4511760918
1672857882,Device: id=1,RX,1.4962006896326,4229.8093929454,4469.2015032866,14261199,5040493916
1672857883,Device: id=1,RX,1.4963466778635,4230.8567179887,4470.2721864468,15757577,5569362076
1672857884,Device: id=1,RX,1.5007792681197,4239.6963366442,4479.8210195434,17258417,6099345564
1672857885,Device: id=1,RX,1.5308149797252,4325.5064148223,4570.4368115783,18789296,6640056478
1672857886,Device: id=1,RX,1.5379817262759,4352.368837848,4598.4459140522,20327284,7184104802
1672857887,Device: id=1,RX,1.5570638535904,4394.5115765093,4643.6417930838,21884375,7733428326
1672857888,Device: id=1,RX,1.5511563858096,4391.2965076238,4639.4815293533,23435554,8282348392
1672857889,Device: id=1,RX,1.5547110693227,4392.520994992,4641.2747660836,24990315,8831431150
1672857890,Device: id=1,RX,1.5534711214487,4392.8833725024,4641.4387519342,26543791,9380543296
1672857891,Device: id=1,RX,1.5537984353137,4394.6806286314,4643.2883782815,28097608,9929884938
1672857892,Device: id=1,RX,1.5523054100081,4394.0105258058,4642.3793914071,29649952,10479149908
1672857893,Device: id=1,RX,1.5556194635194,4394.2766662342,4643.1757803973,31205575,11028435740
1672857894,Device: id=1,RX,1.5781401502388,4463.312773113,4715.8151971512,32783752,11586362864
1672857895,Device: id=1,RX,2.0172074219165,5705.2416167269,6027.9948042336,34800961,12299518624
1672857896,Device: id=1,RX,1.9780435753937,5578.6421883523,5895.1291604153,36779055,12996866674
1672857897,Device: id=1,RX,2.0223828544624,5715.6199028939,6039.2011596079,38801470,13711330518
1672857898,Device: id=1,RX,2.022700170234,5717.5286459035,6041.1606731409,40824213,14426036732
1672857899,Device: id=1,RX,2.0234038721534,5717.5619198739,6041.3065394184,42847649,15140743320
1672857900,Device: id=1,RX,2.0210941646603,5716.3309773618,6039.7060437075,44868756,15855289230
1672857901,Device: id=1,RX,2.0234618642088,5714.118668004,6037.8725662774,46892269,16569572114
1672857902,Device: id=1,RX,2.0207926088062,5717.2184633743,6040.5452807833,48913097,17284236938
1672857903,Device: id=1,RX,2.0191413115825,5715.0111980753,6038.0738079285,50932276,17998626672
1672857904,Device: id=1,RX,1.9471286737882,5505.8262870938,5817.3668748999,52879481,18686881936
1672857905,Device: id=1,RX,0.62449356029671,1761.414696266,1861.3336659135,53503996,18907066332
1672857906,Device: id=1,RX,0.6251824550473,1761.3605506882,1861.3897434958,54129210,19127247510
1672857907,Device: id=1,RX,0.6243608368285,1761.4092460339,1861.3069799265,54753597,19347432892
