Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1672857865,Device: id=0,TX,0.26939222618025,763.12388569269,806.22664188153,269442,95410370
1672857866,Device: id=0,TX,0.34484344361458,977.16056342948,1032.3355144078,614308,217563430
1672857867,Device: id=0,TX,0.35429660513155,999.96709668546,1056.6545535065,968642,342572510
1672857868,Device: id=0,TX,0.35357549840469,999.9698599597,1056.5419397044,1322251,467580586
1672857869,Device: id=0,TX,0.35362720982032,999.94019424499,1056.5205478162,1675941,592595304
1672857870,Device: id=0,TX,0.35206365870287,999.95725358087,1056.2874389733,2028038,717601798
1672857871,Device: id=0,TX,0.3528627991893,999.95952508505,1056.4175729553,2380902,842597164
1672857872,Device: id=0,TX,0.35374676393637,999.95692028011,1056.5564025099,2734668,967598576
1672857873,Device: id=0,TX,0.35168445061052,999.94972771858,1056.2192398163,3086379,1092601728
1672857874,Device: id=0,TX,0.38699187695597,1091.9689709104,1153.8876712234,3473384,1229102478
1672857875,Device: id=0,TX,1.495549661189,4232.3702533144,4471.6581991046,4968940,1758151002
1672857876,Device: id=0,TX,1.5006745106775,4235.1400071245,4475.2479288329,6469678,2287565900
1672857877,Device: id=0,TX,1.4951274420033,4234.5714659494,4473.79185667,7964845,2816901338
1672857878,Device: id=0,TX,1.4969105612233,4233.9570317562,4473.4627215519,9461806,3346163800
1672857879,Device: id=0,TX,1.4939189217267,4234.5603196002,4473.5873470765,10955726,3875484222
1672857880,Device: id=0,TX,1.4968256142177,4234.8097444387,4474.3018427135,12452599,4404852198
1672857881,Device: id=0,TX,1.4961768368486,4234.294675582,4473.6829694778,13948785,4934142274
1672857882,Device: id=0,TX,1.4984612300075,4234.5982481704,4474.3520449716,15447251,5463468740
1672857883,Device: id=0,TX,1.4978391337629,4235.312521861,4474.9667832631,16945141,5992900784
1672857884,Device: id=0,TX,1.500336749428,4238.7442765466,4478.7981564551,18445491,6522748498
1672857885,Device: id=0,TX,1.552207984487,4391.7278199728,4640.0810974907,19997714,7071719786
1672857886,Device: id=0,TX,1.5519576046781,4394.9617297862,4643.2749465346,21549683,7621094036
1672857887,Device: id=0,TX,1.5575781240604,4397.095687348,4646.3081871976,23107287,8170740128
1672857888,Device: id=0,TX,1.5536945024939,4397.7608187632,4646.3519391623,24660984,8720461114
1672857889,Device: id=0,TX,1.5568962137076,4397.5602877279,4646.6636819211,26217915,9270168432
1672857890,Device: id=0,TX,1.5541789948925,4396.7291583297,4645.3977975125,27772122,9819769480
1672857891,Device: id=0,TX,1.5552457219087,4397.2534612858,4646.0927767912,29327418,10369443932
1672857892,Device: id=0,TX,1.553393619106,4396.8909455584,4645.4339246154,30880860,10919072418
1672857893,Device: id=0,TX,1.5564352190754,4397.9773900651,4647.0070251172,32437341,11468835762
1672857894,Device: id=0,TX,1.5681848772099,4434.2337474434,4685.143327797,34005533,12023117498
1672857895,Device: id=0,TX,2.0208210520692,5716.0160004155,6039.3473687465,36026409,12737638926
1672857896,Device: id=0,TX,2.0198902545917,5708.9080061817,6032.0904469164,38046303,13451253750
1672857897,Device: id=0,TX,2.0234623781539,5718.3622357635,6042.1162162681,40069797,14166060200
1672857898,Device: id=0,TX,2.0234683014304,5719.4076808779,6043.1626091068,42093282,14880992060
1672857899,Device: id=0,TX,2.0235749332954,5719.3918593425,6043.1638486697,44116931,15595942210
1672857900,Device: id=0,TX,2.0226085662794,5718.4962319397,6042.1136025444,46139588,16310771356
1672857901,Device: id=0,TX,2.0240441912084,5718.1131683657,6041.9602389591,48163716,17025565098
1672857902,Device: id=0,TX,2.0221700166376,5719.9453002701,6043.4925029321,50185897,17740562144
1672857903,Device: id=0,TX,2.0206220523201,5717.8685757367,6041.1681041079,52206567,18455312676
1672857904,Device: id=0,TX,1.9818367209724,5604.7763614558,5921.8702368114,54188424,19155916890
1672857905,Device: id=0,TX,0.62430670016549,1761.4086839143,1861.2977559408,54812747,19376098724
1672857906,Device: id=0,TX,0.62507381772833,1761.3680431196,1861.3798539561,55437840,19596276486
1672857907,Device: id=0,TX,0.62479891103824,1761.4017410084,1861.3695667745,56062667,19816461602
1672857908,Device: id=0,TX,0.62104779309518,1761.4079994915,1860.7756463867,56683724,20036640866
1672857909,Device: id=0,TX,0.6239658132701,1761.4054750368,1861.24000516,57307692,20256817322
1672857910,Device: id=0,TX,0.62332716040651,1761.3988720234,1861.1312176884,57931053,20477004134
1672857911,Device: id=0,TX,0.62284223934046,1761.414223836,1861.0689821305,58553934,20697194614
1672857912,Device: id=0,TX,0.62317432128485,1761.3960118973,1861.1039033029,59177137,20917379248
1672857913,Device: id=0,TX,0.6231860202133,1761.4107266838,1861.120489918,59800337,21137560528
1672857914,Device: id=0,TX,0.66292897189907,1875.4982285399,1981.5668640438,60463284,21372004182
1672857915,Device: id=0,TX,2.0159525186808,5697.1148830294,6019.6672860184,62479283,22084159962
1672857916,Device: id=0,TX,2.0114066229117,5695.8454004997,6017.6704601656,64490709,22796147496
1672857917,Device: id=0,TX,2.0052074617259,5665.7807197541,5986.6139136302,66495927,23504373808
1672857918,Device: id=0,TX,2.0151835811259,5699.7754957446,6022.2048687247,68511158,24216862510
1672857919,Device: id=0,TX,2.012258400321,5698.2045494833,6020.1658935346,70523447,24929148910
