Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1675266221,Device: id=1,RX,0,0,0,0,0
1675266222,Device: id=1,RX,0,0,0,0,0
1675266223,Device: id=1,RX,0,0,0,0,0
1675266224,Device: id=1,RX,0,0,0,0,0
1675266225,Device: id=1,RX,0,0,0,0,0
1675266226,Device: id=1,RX,0,0,0,0,0
1675266227,Device: id=1,RX,0,0,0,0,0
1675266228,Device: id=1,RX,0,0,0,0,0
1675266229,Device: id=1,RX,0,0,0,0,0
1675266230,Device: id=1,RX,0,0,0,0,0
1675266231,Device: id=1,RX,0,0,0,0,0
1675266232,Device: id=1,RX,0,0,0,0,0
1675266233,Device: id=1,RX,0,0,0,0,0
1675266234,Device: id=1,RX,0,0,0,0,0
1675266235,Device: id=1,RX,0,0,0,0,0
1675266236,Device: id=1,RX,0,0,0,0,0
1675266237,Device: id=1,RX,0,0,0,0,0
1675266238,Device: id=1,RX,0,0,0,0,0
1675266239,Device: id=1,RX,0,0,0,0,0
1675266240,Device: id=1,RX,0,0,0,0,0
1675266241,Device: id=1,RX,0,0,0,0,0
1675266242,Device: id=1,RX,0,0,0,0,0
1675266243,Device: id=1,RX,0,0,0,0,0
1675266244,Device: id=1,RX,0,0,0,0,0
1675266245,Device: id=1,RX,0,0,0,0,0
1675266246,Device: id=1,RX,0,0,0,0,0
1675266247,Device: id=1,RX,0,0,0,0,0
1675266248,Device: id=1,RX,0,0,0,0,0
1675266249,Device: id=1,RX,0,0,0,0,0
1675266250,Device: id=1,RX,0,0,0,0,0
1675266251,Device: id=1,RX,0,0,0,0,0
1675266252,Device: id=1,RX,0,0,0,0,0
1675266253,Device: id=1,RX,0,0,0,0,0
1675266254,Device: id=1,RX,0,0,0,0,0
1675266255,Device: id=1,RX,0,0,0,0,0
1675266256,Device: id=1,RX,0,0,0,0,0
1675266257,Device: id=1,RX,0,0,0,0,0
1675266258,Device: id=1,RX,0,0,0,0,0
1675266259,Device: id=1,RX,0,0,0,0,0
1675266260,Device: id=1,RX,0,0,0,0,0
1675266261,Device: id=1,RX,0,0,0,0,0
1675266262,Device: id=1,RX,0,0,0,0,0
1675266263,Device: id=1,RX,0,0,0,0,0
1675266264,Device: id=1,RX,0,0,0,0,0
1675266265,Device: id=1,RX,0,0,0,0,0
1675266266,Device: id=1,RX,0,0,0,0,0
1675266267,Device: id=1,RX,0,0,0,0,0
1675266268,Device: id=1,RX,0,0,0,0,0
1675266269,Device: id=1,RX,0,0,0,0,0
1675266270,Device: id=1,RX,0,0,0,0,0
1675266271,Device: id=1,RX,0,0,0,0,0
1675266272,Device: id=1,RX,0,0,0,0,0
1675266273,Device: id=1,RX,0,0,0,0,0
1675266274,Device: id=1,RX,0,0,0,0,0
1675266275,Device: id=1,RX,0,0,0,0,0
1675266276,Device: id=1,RX,0,0,0,0,0
1675266277,Device: id=1,RX,0,0,0,0,0
1675266278,Device: id=1,RX,0,0,0,0,0
1675266279,Device: id=1,RX,0,0,0,0,0
1675266280,Device: id=1,RX,0,0,0,0,0
1675266281,Device: id=1,RX,0,0,0,0,0
1675266282,Device: id=1,RX,0,0,0,0,0
1675266283,Device: id=1,RX,0,0,0,0,0
1675266284,Device: id=1,RX,0,0,0,0,0
1675266285,Device: id=1,RX,0,0,0,0,0
1675266286,Device: id=1,RX,0,0,0,0,0
1675266287,Device: id=1,RX,0,0,0,0,0
