Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1675266221,Device: id=0,TX,0.15658945859454,443.57793014696,468.63224352209,156615,55457536
1675266222,Device: id=0,TX,0.34655052111001,978.56957728031,1034.0176606579,503172,177781020
1675266223,Device: id=0,TX,0.35399691141358,999.97117211762,1056.6106779438,857191,302785216
1675266224,Device: id=0,TX,0.35445666292984,999.60412553215,1056.3171916009,1211686,427749246
1675266225,Device: id=0,TX,0.35414139529861,999.95094642871,1056.6135696765,1565862,552755328
1675266226,Device: id=0,TX,0.35356763063026,999.96121812608,1056.5320390269,1919436,677752732
1675266227,Device: id=0,TX,0.35369179776755,999.97138804341,1056.5620756862,2273133,802750994
1675266228,Device: id=0,TX,0.35311024758196,999.94806758338,1056.4457071965,2626281,927757866
1675266229,Device: id=0,TX,0.48564198118632,1369.8400313207,1447.5427483105,3111946,1098995986
1675266230,Device: id=0,TX,0.90166618248555,2544.9608844147,2689.2274736124,4013629,1417122030
1675266231,Device: id=0,TX,0.90145063197278,2545.9403112398,2690.1724123554,4915085,1735366464
1675266232,Device: id=0,TX,0.89957550778674,2543.8807177279,2687.8127989738,5814734,2053377532
1675266233,Device: id=0,TX,0.89776311343316,2544.8059902785,2688.4480884278,6712532,2371490642
1675266234,Device: id=0,TX,0.8991826907387,2545.3580528581,2689.2272833763,7611728,2689665108
1675266235,Device: id=0,TX,0.90104990706476,2545.4134757945,2689.5814609249,8512818,3007855950
1675266236,Device: id=0,TX,0.90070951905874,2545.6297125058,2689.7432355552,9413553,3326068666
1675266237,Device: id=0,TX,0.90106747491807,2544.5515186743,2688.7223146612,10314642,3644145204
1675266238,Device: id=0,TX,0.90102966291629,2545.7930354346,2689.9577815012,11215731,3962390290
1675266239,Device: id=0,TX,1.0333673692796,2923.115701307,3088.4544803918,12249108,4327783158
1675266240,Device: id=0,TX,1.4596284782174,4121.8827760791,4355.4233325939,13708758,4843026102
1675266241,Device: id=0,TX,1.4604922679158,4123.7128460024,4357.3916088689,15169302,5358508466
1675266242,Device: id=0,TX,1.4554985040561,4119.2733808103,4352.1531414593,16624853,5873436210
1675266243,Device: id=0,TX,1.4587507246825,4122.7563707708,4356.15648672,18083609,6388782620
1675266244,Device: id=0,TX,1.4566452682474,4121.5493735471,4354.6126164667,19540282,6903986100
1675266245,Device: id=0,TX,1.457163046219,4120.959974898,4354.1060622931,20997499,7419125170
1675266246,Device: id=0,TX,1.4579168295584,4123.7156564104,4356.9823491397,22455419,7934590748
1675266247,Device: id=0,TX,1.4566281463033,4125.0713592096,4358.1318626181,23912060,8450229218
1675266248,Device: id=0,TX,1.4574255165446,4122.7481397954,4355.9362224426,25369502,8965578564
1675266249,Device: id=0,TX,1.718631702763,4857.4952087764,5132.4762812185,27088137,9572766630
1675266250,Device: id=0,TX,2.673560844245,7560.9038386928,7988.673573772,29761728,10517890270
1675266251,Device: id=0,TX,2.6723454544148,7559.2098366349,7986.7851093413,32434080,11462793814
1675266252,Device: id=0,TX,2.6727137275909,7554.7465872721,7982.3807836866,35106850,12407157020
1675266253,Device: id=0,TX,2.6761475337972,7561.3008320191,7989.4844374267,37783011,13352324380
1675266254,Device: id=0,TX,2.6718538486773,7555.052922953,7982.5495387414,40454918,14296724782
1675266255,Device: id=0,TX,2.6737442399646,7558.625425302,7986.4245036963,43128712,15241570544
1675266256,Device: id=0,TX,2.6729840200696,7563.022687563,7990.7001307741,45801736,16186962520
1675266257,Device: id=0,TX,2.6737272170453,7560.8545722767,7988.6509270039,48475526,17132091534
1675266258,Device: id=0,TX,2.6759173355113,7563.3952260935,7991.5419997753,51151499,18077535604
1675266259,Device: id=0,TX,2.7746193115034,7848.3506633373,8292.2897531779,53926153,19058591702
1675266260,Device: id=0,TX,3.0862467342286,8738.6600474281,9232.4595249047,57012462,20150946246
1675266261,Device: id=0,TX,3.0952400231183,8743.2985941787,9238.5369978776,60107722,21243865624
1675266262,Device: id=0,TX,3.0889289127841,8734.3216563644,9228.5502824099,63196680,22335666112
1675266263,Device: id=0,TX,3.0903451544848,8743.1340059654,9237.589230683,66287082,23428577966
1675266264,Device: id=0,TX,3.0932927394709,8743.8472184079,9238.7740567233,69380430,24521578394
1675266265,Device: id=0,TX,3.0921928423482,8745.5502410046,9240.3010957804,72472657,25614784250
1675266266,Device: id=0,TX,3.0923396001716,8742.1074993897,9236.8818354171,75565011,26707552776
1675266267,Device: id=0,TX,3.0910693142674,8743.924614208,9238.4957044908,78656094,27800548192
1675266268,Device: id=0,TX,3.0938564130371,8744.3802145364,9239.3972406224,81749974,28893604052
1675266269,Device: id=0,TX,2.4424089370769,6900.4897677771,7291.2751977094,84192563,29756228864
1675266270,Device: id=0,TX,0.38705749451191,1093.9859350228,1155.9151341447,84579636,29892982584
1675266271,Device: id=0,TX,0.38595922509622,1093.997549294,1155.7510253094,84965621,30029741410
1675266272,Device: id=0,TX,0.38553158866536,1093.9755600351,1155.6606142216,85351189,30166501270
1675266273,Device: id=0,TX,0.38587391302317,1093.9803442617,1155.7201703454,85737079,30303254514
1675266274,Device: id=0,TX,0.38705966121907,1093.9897495318,1155.9192953268,86124151,30440007592
1675266275,Device: id=0,TX,0.38641538472245,1093.9906729283,1155.8171344839,86510584,30576762660
1675266276,Device: id=0,TX,0.38677523047853,1093.9904792606,1155.8745161372,86897401,30713526238
1675266277,Device: id=0,TX,0.38673137961534,1093.9797845881,1155.8568053265,87284154,30850281356
1675266278,Device: id=0,TX,0.38705468870427,1093.9974597196,1155.9262099122,87671227,30987037508
1675266279,Device: id=0,TX,0.57929600085589,1633.7053019447,1726.3926620816,88250526,31191251728
1675266280,Device: id=0,TX,1.1693571270152,3306.4754590951,3493.5725994175,89419933,31604578788
1675266281,Device: id=0,TX,1.1766649695255,3331.2373263657,3519.5037214897,90596638,32020997620
1675266282,Device: id=0,TX,1.1795400654535,3331.8746460342,3520.6010565068,91776193,32437487224
1675266283,Device: id=0,TX,1.1779097806946,3330.6942192062,3519.1597841173,92954112,32853827260
1675266284,Device: id=0,TX,1.1781116987184,3332.2116474104,3520.7095192053,94132225,33270354176
1675266285,Device: id=0,TX,1.1769524177295,3330.4930713423,3518.8054581791,95309249,33686691130
