Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1673888404,Device: id=1,RX,0.1742272874136,492.96722711156,520.84359309774,177728,62859472
1673888405,Device: id=1,RX,0.17760380021264,499.99615985158,528.41276788561,355335,125360118
1673888406,Device: id=1,RX,0.17741560390237,499.97971399598,528.36621062036,532812,187879210
1673888407,Device: id=1,RX,0.17651371546367,499.99082425822,528.23301873241,709329,250379226
1673888408,Device: id=1,RX,0.17742892987096,499.96626544505,528.3548942244,886802,312890532
1673888409,Device: id=1,RX,0.17717983382582,499.98015237563,528.32892578776,1064026,375403630
1673888410,Device: id=1,RX,0.17685736828914,499.98496312252,528.28214204878,1240961,437929184
1673888411,Device: id=1,RX,0.17694717067556,499.97520613791,528.286753446,1417926,500432382
1673888412,Device: id=1,RX,0.17644527630993,499.97792526778,528.20916947737,1594377,562931650
1673888413,Device: id=1,RX,0.18478428930013,520.99100820125,550.55649448927,1779184,628063530
1673888414,Device: id=1,RX,0.3544282436151,999.93536519662,1056.643884175,2133620,753058186
1673888415,Device: id=1,RX,0.35298730896713,999.94525197307,1056.4232214078,2486616,878054420
1673888416,Device: id=1,RX,0.3539146565491,999.9572874146,1056.5836324625,2840541,1003052734
1673888417,Device: id=1,RX,0.35374421949392,999.94974927119,1056.5488243902,3194305,1128053442
1673888418,Device: id=1,RX,0.35434668214469,999.95160002368,1056.6470691668,3548676,1253055970
1673888419,Device: id=1,RX,0.3532097927497,999.95975935161,1056.4733261916,3901931,1378066938
