Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1673888404,Device: id=0,TX,0.17670599546299,500.00901355226,528.28197282634,176718,62505106
1673888405,Device: id=0,TX,0.17506503278534,492.80767238992,520.81807763558,351827,124121536
1673888406,Device: id=0,TX,0.17728787381278,499.97595182627,528.34201163632,529176,186640078
1673888407,Device: id=0,TX,0.17664102034416,499.97241580926,528.23497906433,705821,249138038
1673888408,Device: id=0,TX,0.17739621038439,499.98223131905,528.36562498055,883234,311641732
1673888409,Device: id=0,TX,0.17720382064265,499.98165582073,528.33426712355,1060458,374146556
1673888410,Device: id=0,TX,0.17688829354344,499.97721005234,528.27933701929,1237357,436647490
1673888411,Device: id=0,TX,0.17693809344843,499.9769193422,528.28701429395,1414356,499166118
1673888412,Device: id=0,TX,0.17641498823077,499.98192218664,528.20832030357,1590807,561676616
1673888413,Device: id=0,TX,0.18122672947706,510.94566160945,539.94193832578,1772060,625554082
1673888414,Device: id=0,TX,0.35446885574361,999.93185130083,1056.6468682198,2126561,750556898
1673888415,Device: id=0,TX,0.35303133215801,999.9547988613,1056.4398120066,2479621,875561398
1673888416,Device: id=0,TX,0.35395293218865,999.94014016737,1056.5726093176,2833578,1000555352
1673888417,Device: id=0,TX,0.35370605422879,999.96143768244,1056.5544063591,3187311,1125560054
1673888418,Device: id=0,TX,0.35440301953675,999.94975046197,1056.6542335879,3541749,1250566110
1673888419,Device: id=0,TX,0.35290402612425,999.9566557775,1056.4212999574,3894681,1375570600
