Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1670340207,Device: id=1,RX,0.15998170439634,453.09294728841,478.69001999182,36289,12847656
1670340207,Device: id=1,RX,0.17641268452551,500.03164699843,528.25767652251,71581,25351800
1670340207,Device: id=1,RX,0.17509184339143,499.98494982343,527.99964476606,106656,37871638
1670340207,Device: id=1,RX,0.17671638757647,499.9858612122,528.26048322444,142018,50377906
1670340208,Device: id=1,RX,0.17856371784331,499.99845445732,528.56864931225,177794,62900008
1670340208,Device: id=1,RX,0.17749530599917,499.98348043798,528.38272939785,213316,75407672
1670340208,Device: id=1,RX,0.1761731956737,499.96475505126,528.15246635905,248612,87928558
1670340208,Device: id=1,RX,0.17840039446564,499.97631001313,528.52037312763,284323,100438798
1670340208,Device: id=1,RX,0.17679396254421,499.98271672456,528.26975073164,319717,112950812
1670340209,Device: id=1,RX,0.17543462126386,500.00647041745,528.07600981967,354824,125458126
1670340209,Device: id=1,RX,0.17572223039102,500.02906324736,528.14462010992,389994,137967942
1670340209,Device: id=1,RX,0.17723516532876,499.91158491795,528.26921137055,425448,150468188
1670340209,Device: id=1,RX,0.17592396932381,499.99010018234,528.13793527415,460684,162986132
1670340209,Device: id=1,RX,0.17553216052606,499.99672715537,528.08187283954,495819,175496222
1670340210,Device: id=1,RX,0.17749918426023,499.9592372714,528.35910675304,531338,188001950
1670340210,Device: id=1,RX,0.17783827477517,499.98364679227,528.43777075629,566956,200519234
1670340210,Device: id=1,RX,0.17580467315025,499.98669253912,528.11544024316,602158,213033500
1670340210,Device: id=1,RX,0.17918510422077,500.00517952778,528.6747962031,638032,225546528
1670340210,Device: id=1,RX,0.17785457866624,500.01711565655,528.47384824315,673616,238051554
1670340211,Device: id=1,RX,0.17661020141733,499.91981095506,528.17744318183,708944,250551658
1670340211,Device: id=1,RX,0.17730575719602,499.98410850587,528.35302965723,744431,263060372
1670340211,Device: id=1,RX,0.17584662244483,500.00323435182,528.13869394299,779634,275572422
1670340211,Device: id=1,RX,0.17549920855372,499.96515671369,528.04503008228,814741,288074100
1670340211,Device: id=1,RX,0.17569542263885,499.98155267187,528.09282029409,849939,300594596
1670340212,Device: id=1,RX,0.17818276375356,499.98494961432,528.49419181489,885623,313110862
1670340212,Device: id=1,RX,0.176518889388,499.97360731262,528.2166296147,920950,325618424
1670340212,Device: id=1,RX,0.17486141781847,499.98955361141,527.96738046236,955928,338120206
1670340212,Device: id=1,RX,0.17801758226873,499.97668193243,528.45949509543,991576,350635240
1670340212,Device: id=1,RX,0.17621064844465,499.9890337243,528.18273747545,1026874,363154782
