,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads
0,7795.1678797443,5915.2339790387,58.294,2291127928.0,454226909.0,1654594.0,1655899.0,2479.0,790.0,580165483.0,8853.0,696026591.0,63.0,238.0,514.0
1,1209.0886953737,1350.8518594157,8.95,2414436344.0,475364782.0,1722943.0,1719518.0,10.0,520.0,599510440.0,4684.0,744607331.0,63.0,0.0,476.0
2,2241.7215147357,2895.5461219673,15.29,2386295389.0,475728248.0,1729789.0,1772060.0,55.0,3749.0,617035461.0,5198.0,769043890.0,50.0,0.0,438.0
3,8173.7794166598,8002.0056382843,9.626,2484589169.0,488772169.0,1772178.0,1773375.0,5.0,469.0,619069881.0,9027.0,749891817.0,0.0,213.0,463.0
4,6270.1701902679,5750.3372590669,9.635,2475942178.0,488087869.0,1770739.0,1770211.0,0.0,676.0,618831504.0,4911.0,767836104.0,0.0,0.0,488.0
5,2056.3847438276,2881.8589324135,7.715,2377138293.0,474057480.0,1727001.0,1726478.0,60.0,3962.0,617094298.0,4896.0,767845763.0,50.0,276.0,2372.0
6,9559.1468582605,9114.4134755928,2469.479,2479688249.0,488551035.0,1772220.0,1774346.0,30.0,595.0,618452207.0,8868.0,751893626.0,745.0,155.0,525.0
7,5047.1216778487,4660.636064632,5.449,2406389216.0,474752285.0,1730396.0,1740846.0,3440.0,373197.0,619008716.0,790470.0,713451408.0,352.0,438.0,6572.0
8,1857.6090178265,2229.8290715387,5.814,1929116236.0,384854371.0,1576999.0,1579106.0,1077.0,2281223.0,614780462.0,2476115.0,613013661.0,6911.0,773184.0,1261884.0
9,5837.4276881422,6247.6187889542,12.969,2014982379.0,397321601.0,1649758.0,1651416.0,771.0,2334723.0,618845531.0,2051480.0,624664981.0,701.0,891039.0,1399418.0
10,8786.0905679811,7987.4152472495,12.797,1987891881.0,391412506.0,1636198.0,1644785.0,5667.0,2543223.0,616564791.0,2837852.0,601845737.0,738.0,887990.0,1394763.0
11,1770.6168389085,2172.7831539729,7.155,1888530231.0,377955985.0,1621423.0,1621640.0,1226.0,2150126.0,618962847.0,2377351.0,620540539.0,576.0,934126.0,1455486.0
12,5874.7916905677,6267.7629486599,242.4,1916113834.0,376804535.0,1626955.0,1626319.0,2191.0,2757126.0,615964619.0,2870656.0,574052189.0,951.0,1124609.0,1758959.0
13,8890.9969138474,8164.3536992686,15.843,1889993249.0,373392458.0,1611500.0,1611025.0,1323.0,3137395.0,618777414.0,3230457.0,575794521.0,763.0,1144990.0,1786030.0
14,2192.6208887674,2204.8492604401,7.05,1736562555.0,358583776.0,1756754.0,1748027.0,671.0,2430519.0,617137165.0,2538676.0,616366732.0,688.0,964030.0,1495412.0
15,2611.2141469414,2938.0747584708,9.795,2242947872.0,442016857.0,1701922.0,1701915.0,315.0,1164335.0,616101197.0,1205789.0,672935583.0,225.0,469212.0,739516.0
16,5635.0550463433,5590.1946413247,18.586,2058686431.0,406354536.0,1653583.0,1652946.0,2914.0,2002239.0,617687826.0,2055016.0,644575202.0,864.0,754282.0,1203816.0
