,input_rate,output_rate,latency,l2fwd_instructions,l2fwd_branches,l2fwd_branch-misses,l2fwd_branch-load-misses,l2fwd_cache-misses,l2fwd_cache-references,l2fwd_cycles,l2fwd_L1-dcache-load-misses,l2fwd_L1-dcache-loads,l2fwd_LLC-load-misses,l2fwd_LLC-stores,l2fwd_LLC-loads
0,7795.1678797443,5915.2339790387,13.485,1639038029.0,363117037.0,1469534.0,1601802.0,2714.0,7868.0,580276770.0,14180.0,727440173.0,151.0,402.0,9324.0
1,1209.0886953737,1350.8518594157,97.427,2234876475.0,445650279.0,1632517.0,1657156.0,267.0,2446.0,582654104.0,10561.0,713423602.0,101.0,13.0,1621.0
2,2241.7215147357,2895.5461219673,58.294,2519952100.0,496625922.0,1799474.0,1798211.0,5.0,607.0,617729279.0,5964.0,779388703.0,75.0,75.0,6407.0
3,8173.7794166598,8002.0056382843,8.95,2521250102.0,480912346.0,1752688.0,1753099.0,120.0,820.0,617765006.0,6093.0,778149381.0,63.0,0.0,513.0
4,6270.1701902679,5750.3372590669,15.29,2521881918.0,496911083.0,1801456.0,1801232.0,60.0,732.0,615501307.0,10715.0,761813787.0,13.0,0.0,526.0
5,2056.3847438276,2881.8589324135,9.626,2522049834.0,496938745.0,1801507.0,1801526.0,5.0,507.0,618420842.0,6123.0,778032509.0,0.0,227.0,9367.0
6,9559.1468582605,9114.4134755928,9.635,2522131048.0,482187130.0,1756752.0,1756949.0,135.0,557.0,619091172.0,6268.0,776502382.0,768.0,142.0,562.0
7,5047.1216778487,4660.636064632,7.715,2363300501.0,464588512.0,1704875.0,1717172.0,5627.0,388694.0,616074181.0,1065893.0,701815467.0,291.0,13.0,526.0
8,1857.6090178265,2229.8290715387,2469.479,2157159529.0,417974724.0,1698118.0,1694950.0,2433.0,2361033.0,617820854.0,2468725.0,641227342.0,509.0,1868929.0,1661496.0
9,5837.4276881422,6247.6187889542,5.449,2334324534.0,446108549.0,1706813.0,1706776.0,75.0,976227.0,618396876.0,961558.0,723058644.0,213.0,439197.0,505351.0
10,8786.0905679811,7987.4152472495,5.814,2095782024.0,411285995.0,1702414.0,1703089.0,145.0,2428387.0,616203713.0,1405725.0,693705517.0,163.0,1174923.0,1267283.0
11,1770.6168389085,2172.7831539729,12.969,1904542160.0,372951565.0,1654120.0,1657239.0,236.0,3703508.0,618157144.0,3961246.0,580657989.0,263.0,1733702.0,1856017.0
12,5874.7916905677,6267.7629486599,12.797,2149836800.0,422285333.0,1706289.0,1697001.0,850.0,3376344.0,618149771.0,3025559.0,637399072.0,50.0,1007073.0,1093215.0
13,8890.9969138474,8164.3536992686,7.155,2147312710.0,412630739.0,1811071.0,1828337.0,900.0,855849.0,621026843.0,2078678.0,639937234.0,38.0,1225709.0,1302755.0
14,2192.6208887674,2204.8492604401,242.4,1855948246.0,360978158.0,1613230.0,1609441.0,434.0,3975024.0,617720898.0,3665800.0,594327302.0,113.0,1729976.0,1839402.0
15,2611.2141469414,2938.0747584708,15.843,2004614514.0,393145429.0,1674764.0,1682902.0,35.0,2004262.0,618981681.0,2002691.0,669800570.0,88.0,921440.0,995987.0
16,5635.0550463433,5590.1946413247,7.05,2282561559.0,443140722.0,1682638.0,1673572.0,155.0,1938678.0,618944966.0,1953417.0,652646889.0,163.0,926758.0,1015124.0
17,5658.4851763119,6114.9611660484,9.795,1919111238.0,375716466.0,1649937.0,1653485.0,526.0,3566976.0,618954595.0,3667156.0,592552765.0,175.0,1707860.0,1808814.0
18,9142.8840350042,8266.2804061916,18.586,2092867370.0,410441238.0,1695705.0,1695703.0,110.0,2562109.0,618982283.0,2634772.0,645123299.0,13.0,1254650.0,1398897.0
19,1197.6890403238,1320.0179863009,6.375,2174155437.0,426215020.0,1667761.0,1667089.0,165.0,1914529.0,618924359.0,1925607.0,654772364.0,50.0,692970.0,479829.0
