,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads
0,7865.2781878131,5155.0763285764,10.423,2291127928.0,454226909.0,1654594.0,1655899.0,2479.0,790.0,580165483.0,8853.0,696026591.0,63.0,238.0,514.0
1,2548.9187901705,3269.3308474038,8.537,2414436344.0,475364782.0,1722943.0,1719518.0,10.0,520.0,599510440.0,4684.0,744607331.0,63.0,0.0,476.0
2,7129.1458847482,6666.8592824369,5.421,2386295389.0,475728248.0,1729789.0,1772060.0,55.0,3749.0,617035461.0,5198.0,769043890.0,50.0,0.0,438.0
3,3361.2157298973,3693.9864145748,9.526,2484589169.0,488772169.0,1772178.0,1773375.0,5.0,469.0,619069881.0,9027.0,749891817.0,0.0,213.0,463.0
4,6385.1444958618,6296.6458656927,7.949,2475942178.0,488087869.0,1770739.0,1770211.0,0.0,676.0,618831504.0,4911.0,767836104.0,0.0,0.0,488.0
5,6119.430686457,6537.7244545137,11.974,2377138293.0,474057480.0,1727001.0,1726478.0,60.0,3962.0,617094298.0,4896.0,767845763.0,50.0,276.0,2372.0
6,9159.6330300084,8386.1115925409,3092.899,2479688249.0,488551035.0,1772220.0,1774346.0,30.0,595.0,618452207.0,8868.0,751893626.0,745.0,155.0,525.0
7,2080.598158922,2009.8205335049,8.787,2406389216.0,474752285.0,1730396.0,1740846.0,3440.0,373197.0,619008716.0,790470.0,713451408.0,352.0,438.0,6572.0
8,1925.9311386854,2443.9367832264,13.139,1929116236.0,384854371.0,1576999.0,1579106.0,1077.0,2281223.0,614780462.0,2476115.0,613013661.0,6911.0,773184.0,1261884.0
9,6715.5698787422,6687.9340542454,7.203,2014982379.0,397321601.0,1649758.0,1651416.0,771.0,2334723.0,618845531.0,2051480.0,624664981.0,701.0,891039.0,1399418.0
10,6987.0154979906,7328.8127540547,14.66,1987891881.0,391412506.0,1636198.0,1644785.0,5667.0,2543223.0,616564791.0,2837852.0,601845737.0,738.0,887990.0,1394763.0
11,9191.9120105434,8328.3218564047,11.094,1888530231.0,377955985.0,1621423.0,1621640.0,1226.0,2150126.0,618962847.0,2377351.0,620540539.0,576.0,934126.0,1455486.0
12,1820.9912397319,2095.6997435464,30.396,1916113834.0,376804535.0,1626955.0,1626319.0,2191.0,2757126.0,615964619.0,2870656.0,574052189.0,951.0,1124609.0,1758959.0
13,4735.1190020161,5142.4490911164,8.199,1889993249.0,373392458.0,1611500.0,1611025.0,1323.0,3137395.0,618777414.0,3230457.0,575794521.0,763.0,1144990.0,1786030.0
14,8568.5558816183,8504.4046548126,9.129,1736562555.0,358583776.0,1756754.0,1748027.0,671.0,2430519.0,617137165.0,2538676.0,616366732.0,688.0,964030.0,1495412.0
15,8404.1947107716,8517.8601030845,13.466,2242947872.0,442016857.0,1701922.0,1701915.0,315.0,1164335.0,616101197.0,1205789.0,672935583.0,225.0,469212.0,739516.0
16,8679.1376042247,8047.747396672,8.922,2058686431.0,406354536.0,1653583.0,1652946.0,2914.0,2002239.0,617687826.0,2055016.0,644575202.0,864.0,754282.0,1203816.0
17,3469.0796576589,4066.48736978,358.954,1788844874.0,357274923.0,1593812.0,1594045.0,1382.0,3047321.0,619019457.0,3115333.0,582114778.0,839.0,1191505.0,1828822.0
