,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads
0,8404.3451171534,5859.1839267522,6.928,2291405376.0,454444007.0,1654721.0,1653850.0,2429.0,941.0,579974544.0,5138.0,721386377.0,38.0,0.0,476.0
1,7508.5425853789,8438.7604139,7.015,2230457616.0,444816352.0,1621785.0,1661243.0,95.0,3688.0,592136927.0,5224.0,743044394.0,75.0,0.0,488.0
2,8479.1648601009,8476.8139183129,7.639,2477739907.0,488769709.0,1771938.0,1774453.0,0.0,507.0,617688474.0,9046.0,750418545.0,0.0,288.0,551.0
3,8452.0816332575,8449.0120317847,12.893,2486230284.0,489777647.0,1775261.0,1775393.0,20.0,507.0,617929935.0,5218.0,766034941.0,125.0,38.0,1027.0
4,8482.4056223929,8446.3202125208,6.522,2391094844.0,476101123.0,1733650.0,1733905.0,75.0,3486.0,617105555.0,5102.0,768714306.0,88.0,0.0,463.0
5,8449.8399913589,8468.6389732695,5.981,2488896652.0,490187032.0,1776668.0,1776287.0,135.0,488.0,618427600.0,9172.0,749975424.0,13.0,771.0,2533.0
6,8450.4637460979,8445.5511547204,2619.898,2484976973.0,489435925.0,1775259.0,1775271.0,15.0,482.0,618454362.0,5132.0,768442858.0,755.0,156.0,426.0
7,8477.654287808,8475.2423784035,5.178,2305537331.0,452747640.0,1645797.0,1620990.0,3483.0,145298.0,598462747.0,228409.0,713827974.0,373.0,400.0,2718.0
8,8450.8610384752,8444.8897730872,12.675,1817651134.0,373102531.0,1645104.0,1656499.0,326.0,1574307.0,612122836.0,2652329.0,546872258.0,976.0,906423.0,1166645.0
9,8479.837390023,8451.4520761325,20.873,1823301193.0,358742738.0,1624392.0,1624473.0,3135.0,3200865.0,619145666.0,3277900.0,559487720.0,288.0,1254319.0,1720086.0
10,8449.4818825613,8473.0526906066,12.937,1740960619.0,345881008.0,1580254.0,1580213.0,313.0,3101182.0,616230056.0,3279695.0,560601085.0,263.0,1343522.0,1850211.0
11,8455.3958702204,8448.5429612954,116.112,1818299331.0,357766355.0,1631859.0,1632240.0,357.0,3205248.0,618902521.0,3292255.0,546287918.0,826.0,1361367.0,1853459.0
12,8475.2942147449,8473.3130665497,24.697,1813741859.0,356946722.0,1627596.0,1627911.0,1073.0,3208897.0,618983636.0,3300120.0,558496359.0,188.0,1256664.0,1733659.0
13,8453.0812668807,8442.6067059543,15.453,1408856929.0,277411569.0,1344300.0,1343525.0,624.0,3197804.0,528992698.0,3270777.0,472833444.0,376.0,1344463.0,1830422.0
14,8482.7132194581,8447.9922758074,16.234,1648256449.0,317605317.0,1472438.0,1446704.0,105.0,3109185.0,567997188.0,3194662.0,543120479.0,213.0,1359395.0,1845190.0
15,8452.5811892699,8478.7229589652,17.321,1817098986.0,357838792.0,1633391.0,1633594.0,190.0,3222605.0,619020182.0,3309926.0,559060028.0,150.0,1268666.0,1720966.0
16,8451.4791056693,8447.0597113983,151.674,1740574425.0,346242638.0,1584893.0,1584024.0,175.0,3217142.0,618870776.0,3302004.0,559711708.0,38.0,1352819.0,1863915.0
17,8480.642015999,8477.1837412957,16.201,1812508769.0,356752460.0,1627904.0,1628165.0,140.0,3113532.0,616700477.0,3215414.0,546892264.0,50.0,1351583.0,1852666.0
18,8458.0354561706,8451.8561256137,12.268,1817141623.0,356527590.0,1628879.0,1629245.0,551.0,3207519.0,618087774.0,3309938.0,557422073.0,88.0,1269075.0,1702977.0
19,8477.3452016891,8443.8255719126,14.108,1739023613.0,346018231.0,1776341.0,1776339.0,195.0,3219397.0,618957018.0,3312099.0,558984300.0,501.0,1352571.0,1869186.0
20,8455.3692023626,8480.1751010065,16.521,1818274336.0,357565704.0,1629937.0,1629527.0,100.0,3127175.0,616853253.0,3241581.0,544022313.0,1406.0,1356538.0,1853309.0
21,8445.7765262564,8440.3346721571,146.72,1816690428.0,357299574.0,1631264.0,1631012.0,205.0,3232879.0,618977610.0,3312184.0,558852093.0,327.0,1353849.0,1745465.0
22,8480.4558873646,8477.6114576629,14.909,1733572368.0,345347100.0,1583838.0,1583854.0,205.0,3240033.0,618977167.0,3325955.0,557456109.0,88.0,1351690.0,1852368.0
23,8454.3313301306,8450.0389318742,14.688,1806911823.0,355881504.0,1627096.0,1626020.0,175.0,3134863.0,615225035.0,3215814.0,557086428.0,88.0,1354723.0,1854223.0
24,8480.6272819818,8446.2476887561,17.385,1814882854.0,356896161.0,1630291.0,1630333.0,160.0,3222446.0,619051500.0,3309995.0,558919013.0,100.0,1355051.0,1738242.0
25,8445.2814689667,8475.4615084414,15.056,1741436862.0,345818951.0,1582928.0,1578342.0,999.0,3223694.0,619013724.0,3309253.0,558620391.0,188.0,1367717.0,1865466.0
26,8450.5280502288,8445.4323266466,149.376,1813624711.0,356443513.0,1627955.0,1629075.0,869.0,3251671.0,616939668.0,3253693.0,544689225.0,88.0,1356231.0,1867719.0
27,8479.2090957913,8477.6856743496,13.513,1807366976.0,355363396.0,1628952.0,1628510.0,678.0,3246207.0,618457902.0,3312949.0,557303108.0,113.0,1354155.0,1749001.0
28,8451.8152541929,8447.5208368588,15.804,1810227388.0,356129835.0,1628056.0,1628853.0,110.0,3241860.0,618930532.0,3308500.0,558311883.0,113.0,1361881.0,1863992.0
29,8482.2042922458,8443.4830417138,14.665,1813831690.0,345085948.0,1581142.0,1581189.0,135.0,3209434.0,615671962.0,3235140.0,543141477.0,100.0,1357872.0,1864967.0
30,8448.0911213078,8479.1157971117,14.736,1813000119.0,356392056.0,1631157.0,1631019.0,80.0,3229352.0,619012194.0,3321368.0,558068171.0,138.0,1359154.0,1754870.0
31,8452.7179360184,8447.4532347592,77.001,1809682699.0,355876694.0,1628849.0,1630003.0,60.0,3226736.0,618977244.0,3323156.0,557361527.0,138.0,1370430.0,1875387.0
32,8480.1103089311,8477.5164083156,14.608,1822555245.0,346958755.0,1758789.0,1758129.0,185.0,3226380.0,615085710.0,3250988.0,542889255.0,138.0,1362977.0,1871869.0
33,8420.1181073309,8413.0266243703,14.275,1806776117.0,355380656.0,1619914.0,1622490.0,195.0,3247824.0,617028541.0,3335802.0,556838653.0,970.0,1362521.0,1860583.0
34,8482.5498064002,8453.5662879079,14.039,1809481205.0,356012176.0,1630096.0,1630675.0,105.0,3224197.0,618347115.0,3319645.0,557787404.0,352.0,1366555.0,1854751.0
35,8456.5494599586,8480.5776235181,16.083,1809899629.0,345294675.0,1586395.0,1585059.0,370.0,3234906.0,616867690.0,3232910.0,540059800.0,75.0,1361458.0,1872541.0
36,8454.8951714819,8451.1009979978,181.008,1806226298.0,355541809.0,1623668.0,1623683.0,195.0,3221676.0,617711953.0,3318445.0,555067769.0,225.0,1364333.0,1874442.0
37,8479.0360751641,8476.4525151774,16.141,1805702519.0,354875057.0,1625009.0,1624665.0,105.0,3241355.0,618059677.0,3333057.0,556828159.0,163.0,1370324.0,1875436.0
38,8452.2425969334,8449.024808804,16.476,1806679121.0,345608266.0,1579121.0,1575356.0,277.0,3263945.0,618896538.0,3326811.0,557892766.0,163.0,1365264.0,1870186.0
39,8480.1768807873,8448.5569869266,22.083,1803842716.0,354676400.0,1624942.0,1626164.0,838.0,3235604.0,618374293.0,3249047.0,543740272.0,250.0,1360852.0,1866634.0
40,8449.2511246125,8475.6492971425,12.221,1698878012.0,333948275.0,1511398.0,1509356.0,500.0,2995648.0,616515279.0,3086233.0,530316959.0,88.0,1271385.0,1723288.0
41,8451.409185717,8448.1624700873,173.769,1809424933.0,356103365.0,1713327.0,1704978.0,165.0,3148720.0,617653722.0,3335948.0,557064339.0,175.0,1360102.0,1868704.0
42,8481.4561977618,8478.896892363,29.219,1805550203.0,354848492.0,1627105.0,1623300.0,65.0,3242214.0,616997534.0,3259247.0,542171694.0,250.0,1369903.0,1877664.0
43,8451.0470738914,8446.9342410814,14.794,1811162884.0,356211268.0,1629841.0,1630684.0,215.0,3231260.0,616996252.0,3323405.0,555180702.0,163.0,1357748.0,1880097.0
44,8479.6970937371,8445.7279713053,15.095,1801439396.0,354711087.0,1750908.0,1750779.0,140.0,3167717.0,618988480.0,3324328.0,557997287.0,175.0,1368350.0,1867174.0
45,8451.8235497787,8479.5304376222,13.831,1809431820.0,355973408.0,1627946.0,1629386.0,160.0,3233172.0,618936013.0,3239568.0,541922995.0,313.0,1372799.0,1870711.0
46,8445.7245061245,8441.9691059163,192.192,1808865288.0,355856649.0,1630591.0,1631167.0,75.0,3257805.0,618947976.0,3333478.0,555676142.0,712.0,1377822.0,1878495.0
47,8480.0846929698,8478.6091445339,17.127,1814989342.0,356821236.0,1587118.0,1585722.0,245.0,3139736.0,618975235.0,3311875.0,557397641.0,797.0,1352935.0,1864134.0
48,8451.6766469658,8448.3756177034,12.423,1814679335.0,356842494.0,1630446.0,1631044.0,95.0,3238064.0,618921870.0,3238997.0,541359573.0,175.0,1357754.0,1862850.0
49,7912.9872388566,7339.5506559649,17.849,1810288214.0,356465537.0,1630660.0,1631295.0,260.0,3241902.0,618963930.0,3321882.0,556549048.0,200.0,1375367.0,1875327.0
50,3415.0122424717,3407.2326716785,13.414,1804744900.0,355257969.0,1586917.0,1583421.0,165.0,3155487.0,617920847.0,3326479.0,556812221.0,113.0,1372554.0,1876760.0
51,3384.3925644506,3383.2776955561,196.825,1809166325.0,355719008.0,1629869.0,1630061.0,164.0,3259177.0,619072632.0,3268559.0,541730803.0,188.0,1364061.0,1865160.0
52,3418.3245126694,3416.5418490161,16.285,1808272753.0,355710491.0,1628426.0,1628748.0,1086.0,3241879.0,619064903.0,3322228.0,555923258.0,288.0,1375117.0,1873032.0
53,3417.2363065884,3414.4787672051,14.057,1803752886.0,354891756.0,1623771.0,1629318.0,925.0,3250775.0,618897250.0,3324282.0,555871913.0,238.0,1368194.0,1881074.0
54,3421.233597746,3416.432333778,15.388,1807881235.0,355771590.0,1627654.0,1573027.0,517.0,3166944.0,616900198.0,3257525.0,541257746.0,88.0,1368766.0,1883014.0
55,3418.3943483771,3418.3088543619,17.45,1811862245.0,356396992.0,1630819.0,1630756.0,75.0,3250375.0,618924525.0,3335292.0,555433183.0,300.0,1366188.0,1869549.0
56,3420.7514869441,3418.1289261728,9.191,1732350952.0,344853487.0,1582821.0,1628608.0,85.0,3261029.0,618989356.0,3341399.0,556310498.0,63.0,1366767.0,1877976.0
57,3422.6522790495,3421.4746219057,16.736,1804310007.0,358692737.0,1626786.0,1579459.0,115.0,2505566.0,615177146.0,2648986.0,579976958.0,75.0,1090595.0,1505258.0
58,3419.7492312575,3417.5771329573,10.055,1941124497.0,385701673.0,1559487.0,1554011.0,522.0,1592185.0,586697628.0,1480708.0,535843601.0,609.0,741174.0,1076398.0
59,3420.8845890457,3416.6678348303,7.13,1816355438.0,338961519.0,1291186.0,1319743.0,481.0,1511558.0,580746239.0,1848844.0,620611985.0,502.0,705070.0,1065125.0
60,3419.80932035,3419.7384372289,7.721,2089378348.0,411216184.0,1668828.0,1617039.0,380.0,1894472.0,614994006.0,1959848.0,622426989.0,1194.0,800554.0,1138649.0
61,3419.4969692867,3416.9122923746,18.269,2085309715.0,410497620.0,1667855.0,1667198.0,155.0,1963215.0,618338774.0,1998461.0,644549209.0,486.0,764577.0,1149066.0
62,3421.6634688378,3420.220152556,7.075,1994701500.0,397877047.0,1619672.0,1666791.0,210.0,1981734.0,618974894.0,2008994.0,643830693.0,163.0,803669.0,1133335.0
63,3418.7569821621,3416.4348631339,6.967,2087401602.0,409855613.0,1664473.0,1621169.0,200.0,1923164.0,616891347.0,2022547.0,643234088.0,175.0,808552.0,1142802.0
64,3423.0920806082,3416.9573411637,9.171,2080712881.0,409870524.0,1665496.0,1665475.0,135.0,1985675.0,618897923.0,1975295.0,621766029.0,163.0,776615.0,1158839.0
65,3418.0349780749,3420.7463909319,9.468,1992153644.0,396653256.0,1618827.0,1661337.0,271.0,1993762.0,618986617.0,2024522.0,642887825.0,50.0,810968.0,1150017.0
66,3417.3367176206,3413.6434079104,5.609,2082389903.0,410038195.0,1665017.0,1666660.0,1061.0,1900717.0,616743937.0,2029353.0,642476501.0,188.0,808492.0,1156605.0
67,3423.2508028343,3422.276284117,8.416,2085059502.0,410226046.0,1665974.0,1666284.0,426.0,1967690.0,617528824.0,1975972.0,625702106.0,25.0,775192.0,1156192.0
68,3419.9249235297,3416.9334172279,6.355,2072468784.0,408707513.0,1661473.0,1661980.0,85.0,1982919.0,618994014.0,2027065.0,642713090.0,50.0,812714.0,1153753.0
69,3419.6288957593,3414.5458167909,7.389,1995041178.0,397450793.0,1618563.0,1618318.0,506.0,1932168.0,616947778.0,2017512.0,643291495.0,138.0,814140.0,1154969.0
70,3418.8344988711,3419.8832730359,8.854,2080964327.0,410162684.0,1665579.0,1665415.0,90.0,1959758.0,619012231.0,1967244.0,627071428.0,88.0,772269.0,1167139.0
71,3421.8595124759,3419.6715607956,54.16,2083827305.0,410414279.0,1665065.0,1665064.0,90.0,1980579.0,618344754.0,2008092.0,644026100.0,138.0,817130.0,1149717.0
72,3422.6698596131,3420.524490215,5.981,1992090179.0,396776781.0,1617939.0,1618246.0,180.0,1919187.0,616650803.0,2019127.0,642642543.0,75.0,815962.0,1158691.0
73,3419.427118127,3417.3320767739,8.656,2076150376.0,409064579.0,1661505.0,1663051.0,80.0,1984361.0,618996363.0,1955503.0,625852240.0,1256.0,800872.0,1160997.0
74,3424.5480192629,3419.5605947469,9.789,2071976102.0,408670506.0,1662086.0,1662179.0,70.0,1968832.0,619012196.0,2007215.0,644299202.0,537.0,773756.0,1100713.0
75,3418.1331414374,3419.5512878561,7.357,1996897995.0,397984394.0,1621821.0,1620943.0,123.0,1925540.0,617128079.0,2020191.0,642979616.0,88.0,814961.0,1156451.0
76,3419.8852162678,3418.4282566162,62.096,2084196352.0,410190115.0,1666015.0,1666513.0,45.0,1960361.0,619136221.0,2022375.0,621419378.0,63.0,823039.0,1163825.0
77,3420.5350322662,3419.7843468034,8.33,1865676924.0,367366687.0,1850191.0,1852023.0,100.0,1970201.0,618989562.0,2011030.0,643522729.0,100.0,775114.0,1101217.0
78,3419.1405190294,3415.9052238652,7.28,1987499747.0,396111661.0,1617217.0,1617404.0,164.0,1970402.0,618518908.0,2012799.0,575217371.0,339.0,810619.0,1165155.0
79,3421.2239746041,3417.2779739779,5.705,2080268068.0,408714580.0,1660269.0,1660569.0,987.0,1933945.0,616656599.0,1994859.0,626252627.0,150.0,819230.0,1164197.0
80,3418.883854941,3419.9001795242,5.677,2083365268.0,410154343.0,1663761.0,1661810.0,832.0,1985394.0,617031524.0,2025479.0,642080913.0,125.0,786689.0,1111866.0
81,3418.5750114582,3416.1061886202,135.536,1939348367.0,391797785.0,1606487.0,1613503.0,518.0,1978473.0,619007754.0,2019528.0,642805769.0,25.0,815924.0,1151372.0
82,3421.03130303,3419.9664131341,8.4,2083881055.0,409157921.0,1662231.0,1660551.0,75.0,1943974.0,615509807.0,1979394.0,623255048.0,38.0,813965.0,1166707.0
83,3418.6822557419,3417.2149045434,9.465,2003422940.0,394595801.0,1608679.0,1608456.0,145.0,1981207.0,617518582.0,2010645.0,617695252.0,75.0,754883.0,1106342.0
84,3418.6299406123,3409.6258973577,8.685,1997260652.0,397278108.0,1620052.0,1620214.0,135.0,1972731.0,618877967.0,2022283.0,642301467.0,150.0,805560.0,1148926.0
85,3415.3389273476,3418.7937867005,8.768,2089789911.0,411297528.0,1668874.0,1668287.0,45.0,1931431.0,616580053.0,1970931.0,627429155.0,63.0,813727.0,1149689.0
86,3419.5495724387,3418.4010397462,165.255,2084660741.0,410523905.0,1665427.0,1664731.0,180.0,1980557.0,616511853.0,2013392.0,641027792.0,38.0,814767.0,1086108.0
87,3423.8145434006,3422.5304468219,7.942,1991402493.0,396705100.0,1618076.0,1617379.0,150.0,1991382.0,618311247.0,2022472.0,643498037.0,1209.0,817570.0,1159685.0
88,3418.958134898,3416.8612832419,9.92,2083852578.0,410330274.0,1664642.0,1661405.0,60.0,1925056.0,614884173.0,1982290.0,640927738.0,310.0,816647.0,1164346.0
89,3420.813080376,3415.6727868842,5.568,2084857123.0,410835005.0,1668703.0,1669923.0,130.0,1929417.0,618952279.0,1969261.0,644016287.0,188.0,735975.0,1086691.0
90,3418.8062562597,3420.0025577645,8.304,2004389450.0,396723563.0,1619164.0,1619495.0,360.0,1987991.0,618932047.0,2031934.0,641067517.0,163.0,810717.0,1150951.0
91,3418.4136188869,3414.9250080486,264.163,2083301870.0,410108295.0,1663854.0,1663420.0,117.0,1974493.0,616306411.0,1975328.0,622592050.0,100.0,812634.0,1146874.0
92,3421.4647814877,3420.6728998958,9.398,2080409791.0,409856760.0,1663283.0,1663068.0,1018.0,1966286.0,618910950.0,2015708.0,642313061.0,75.0,770480.0,1080735.0
93,3418.5184707511,3416.746669113,6.867,2081830195.0,409751683.0,1662254.0,1663929.0,850.0,1978025.0,618909549.0,2020248.0,641170156.0,25.0,808703.0,1129464.0
94,3420.5917842333,3416.2925170975,8.992,2078679757.0,392527237.0,1607457.0,1608013.0,477.0,1979200.0,616969636.0,1971624.0,626857906.0,38.0,816281.0,1142076.0
95,3419.9230998676,3420.6740076779,8.397,2080583379.0,409886768.0,1664139.0,1665033.0,125.0,1995877.0,618934095.0,2016114.0,642709445.0,413.0,801067.0,1075010.0
96,3421.9278816527,3419.1518028621,8.186,2085740717.0,410289986.0,1664766.0,1665061.0,80.0,1988046.0,618940291.0,2026556.0,643349310.0,75.0,818784.0,1165012.0
97,3422.2717956272,3420.9956799999,8.061,2083245364.0,396718956.0,1618438.0,1618352.0,160.0,1988616.0,617412650.0,1978802.0,625720015.0,63.0,820564.0,1154806.0
98,3420.3201779668,3417.5656355041,10.198,2083869019.0,411026037.0,1669699.0,1668598.0,60.0,1982421.0,619777307.0,2025487.0,643040271.0,159.0,800450.0,1139679.0
99,3177.6843113343,2942.5450169661,8.006,2084513251.0,410318669.0,1665228.0,1665727.0,135.0,1961986.0,619025689.0,2013130.0,642724967.0,38.0,808881.0,1155182.0
100,1341.5845771261,1341.8298174323,256.269,2085059663.0,397136150.0,1618904.0,1618576.0,155.0,1977314.0,617524761.0,1974039.0,626227918.0,732.0,798422.0,1152486.0
101,1341.9319172147,1341.7556485225,6.128,2079576063.0,409975878.0,1665422.0,1665413.0,30.0,1990645.0,618986281.0,2024204.0,642922200.0,801.0,818713.0,1157685.0
102,1341.941346781,1342.0730515225,7.735,2084397191.0,410081147.0,1664977.0,1665015.0,70.0,1970578.0,618989530.0,2022030.0,642624854.0,88.0,814650.0,1146431.0
103,1341.6632131376,1341.7980887636,6.451,2081674840.0,397397775.0,1617331.0,1617604.0,110.0,2004172.0,618969042.0,1989892.0,619109969.0,113.0,811831.0,1162091.0
104,1342.5104905568,1342.4761687632,7.545,2085286512.0,410270665.0,1664536.0,1664931.0,100.0,1985849.0,618997065.0,2032246.0,642331068.0,350.0,816101.0,1167662.0
105,1342.4918608382,1342.4152327674,96.886,2088351677.0,410439728.0,1663797.0,1663951.0,202.0,1976520.0,618939892.0,2021851.0,642584741.0,100.0,821607.0,1156472.0
106,1342.2677503818,1342.2284466968,7.126,2086087478.0,410818010.0,1617182.0,1610596.0,1043.0,1937693.0,618905226.0,2016197.0,643176995.0,75.0,808741.0,1158894.0
