,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads
0,528.36228565766,494.04497438253,7.02,2288559268.0,454029776.0,1654747.0,1656025.0,2558.0,753.0,580221736.0,5110.0,720313037.0,0.0,0.0,6839.0
1,490.94724500519,528.55840525648,7.274,2229726753.0,449615017.0,1734479.0,1741484.0,50.0,507.0,599484763.0,5040.0,743304873.0,125.0,0.0,551.0
2,528.26962886651,528.3012200045,5.309,2474271160.0,488227952.0,1769820.0,1771722.0,100.0,3724.0,616801495.0,9509.0,768350237.0,0.0,0.0,451.0
3,528.22034906404,528.26778339092,7.415,2486537562.0,490136148.0,1776067.0,1775566.0,35.0,745.0,619047514.0,5012.0,769077770.0,0.0,0.0,6033.0
4,528.03815945575,527.95159425645,13.629,2382589415.0,473404610.0,1725348.0,1727953.0,60.0,689.0,619214298.0,4798.0,768945647.0,50.0,0.0,501.0
5,528.32397499376,528.42293487449,8.637,2486520127.0,489909021.0,1776734.0,1776224.0,20.0,451.0,616612045.0,9228.0,750061650.0,50.0,302.0,2262.0
6,528.50101578809,528.34878564979,8.045,2482658755.0,489235961.0,1774452.0,1775322.0,0.0,526.0,619074585.0,4807.0,767122790.0,795.0,140.0,6057.0
7,528.20193399147,528.29623366029,8.512,2445188930.0,466337742.0,1718482.0,1718658.0,946.0,186025.0,619162441.0,195802.0,756142061.0,971.0,70656.0,112740.0
8,527.98831299044,528.05612003686,8.243,2408306342.0,474207503.0,1754903.0,1753362.0,446.0,376787.0,615227996.0,387676.0,719642115.0,488.0,137904.0,228986.0
9,528.41251429941,528.42352993063,11.549,2353742363.0,463488681.0,1720325.0,1704157.0,1252.0,368913.0,582264156.0,378138.0,691472198.0,1740.0,125027.0,202907.0
10,528.16699457466,528.13310365021,5.356,2417730774.0,461426028.0,1720366.0,1721342.0,1434.0,375705.0,619227189.0,394827.0,740303843.0,1454.0,148131.0,239912.0
11,528.29013086715,528.23609522946,6.573,2410613883.0,475355716.0,1762172.0,1763886.0,1113.0,386322.0,614652067.0,390513.0,726104626.0,1528.0,140089.0,225401.0
12,528.66337818988,528.74650675181,5.162,2416415946.0,474963166.0,1757270.0,1756610.0,1675.0,381800.0,616745061.0,399535.0,721964893.0,1208.0,145830.0,239796.0
13,528.28758936579,528.21403516569,4.941,2416398007.0,475416256.0,1762015.0,1759936.0,1191.0,387270.0,618467181.0,392464.0,746691101.0,538.0,149207.0,234297.0
14,528.34228630919,528.369556478,5.146,2410615801.0,457889399.0,1714228.0,1715439.0,651.0,394078.0,616406755.0,397778.0,727625684.0,551.0,150210.0,235215.0
15,528.20038100808,528.22178683408,6.01,2411463387.0,475256883.0,1763036.0,1764628.0,481.0,391120.0,619017303.0,396661.0,746467444.0,726.0,147589.0,242077.0
16,528.42866448234,528.35790961882,5.158,2417048873.0,475508875.0,1763934.0,1763216.0,476.0,385035.0,619021300.0,392464.0,746468065.0,563.0,148160.0,239799.0
17,528.13145567489,528.07212363428,4.806,2409212757.0,461911503.0,1716756.0,1717108.0,641.0,401311.0,619084138.0,396324.0,728420871.0,451.0,139196.0,234959.0
18,527.9179760085,528.03014322291,5.844,2414727057.0,475797110.0,1764005.0,1763442.0,491.0,382789.0,618970845.0,394403.0,745686826.0,801.0,144351.0,244076.0
19,528.30780098632,528.29356605214,4.912,2408380299.0,474644430.0,1760085.0,1761008.0,466.0,391150.0,619022748.0,398236.0,744754824.0,488.0,143483.0,240417.0
20,528.41688706514,528.42727501752,5.274,2413369375.0,475443922.0,1712001.0,1709890.0,591.0,397464.0,618335075.0,400396.0,726951770.0,1937.0,153199.0,241490.0
21,528.23817824468,528.20705818878,4.765,2409116079.0,474805110.0,1760064.0,1759966.0,561.0,384172.0,619040505.0,389401.0,744031026.0,967.0,141486.0,235522.0
22,528.12812579115,528.03981372158,5.066,2415772232.0,475837704.0,1761525.0,1761344.0,716.0,395990.0,618988713.0,401064.0,745612204.0,776.0,143035.0,235881.0
23,528.28455639636,528.41604117636,5.066,2412462660.0,474938924.0,1714841.0,1716425.0,561.0,388096.0,618963534.0,392569.0,746233853.0,538.0,147682.0,231034.0
24,528.04847130043,528.07796505721,6.716,2400932382.0,473344496.0,1757499.0,1757039.0,570.0,387349.0,619164910.0,390761.0,725543122.0,876.0,142135.0,233752.0
25,528.31301705377,528.2720413169,4.944,2398210004.0,472175731.0,1750836.0,1749768.0,1340.0,393089.0,618965604.0,403719.0,741035566.0,338.0,144281.0,239137.0
26,528.18507417742,528.1162620173,5.04,2407266453.0,474229758.0,1703893.0,1703829.0,1526.0,381881.0,618365609.0,397175.0,745333906.0,601.0,147330.0,241855.0
27,528.28324464432,528.37172837766,5.216,2411454440.0,475436265.0,1758536.0,1757057.0,987.0,391129.0,617749668.0,396918.0,726725112.0,826.0,144760.0,243701.0
28,528.57879058922,528.4495665721,4.819,2405424590.0,474284757.0,1755116.0,1756549.0,441.0,403447.0,619065877.0,394893.0,745858751.0,651.0,145068.0,245533.0
29,528.23252682749,528.25872624542,8.438,2411496884.0,475219714.0,1712795.0,1711567.0,531.0,391396.0,618258561.0,400788.0,745709163.0,526.0,145596.0,236080.0
30,528.15775612214,528.20519505729,4.736,2412648749.0,475211589.0,1757030.0,1756576.0,486.0,392200.0,619077801.0,399315.0,726470601.0,675.0,144061.0,232708.0
31,528.20663288603,528.3191698155,4.791,2409446225.0,474938856.0,1761936.0,1761751.0,701.0,395925.0,618977412.0,393067.0,746145685.0,663.0,143220.0,226667.0
32,528.43168376555,528.32970618344,7.831,2405525953.0,474540151.0,1760878.0,1715531.0,586.0,389228.0,617000277.0,396059.0,746310661.0,426.0,151202.0,234983.0
33,527.95052012389,527.95040660009,6.566,2413512842.0,475316170.0,1762002.0,1761877.0,611.0,375895.0,618968768.0,405933.0,727592328.0,1261.0,146980.0,236180.0
34,528.36152733784,528.48631065813,4.835,2412239312.0,475257807.0,1757260.0,1758628.0,501.0,395625.0,617225422.0,404288.0,743731138.0,953.0,145754.0,237595.0
35,528.21266739807,528.15597982983,4.88,2257995522.0,452237121.0,1849018.0,1710263.0,496.0,393613.0,617035591.0,408038.0,745308082.0,488.0,148111.0,240937.0
36,528.31078412264,528.12143685357,5.223,2412647674.0,475339825.0,1759446.0,1759574.0,601.0,388753.0,619267389.0,395346.0,721300694.0,701.0,147202.0,236873.0
