Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1669848010,Device: id=0,TX,2.6078748865018,7377.907897904,7795.1678797443,521645,184471624
1669848010,Device: id=0,TX,0.40438328447739,1144.3873698573,1209.0886953737,602544,213089212
1669848011,Device: id=0,TX,0.75101144308441,2121.5596838422,2241.7215147357,752753,266130574
1669848011,Device: id=0,TX,2.7356142339318,7736.0811392307,8173.7794166598,1299889,459537252
1669848011,Device: id=0,TX,2.1007438138278,5934.0511800554,6270.1701902679,1720176,607937342
1669848011,Device: id=0,TX,0.68641445887881,1946.558430407,2056.3847438276,1857465,656603468
1669848011,Device: id=0,TX,3.2000220238684,9047.1433344416,9559.1468582605,2497523,882800992
1669848012,Device: id=0,TX,1.694112532789,4776.0636726025,5047.1216778487,2836531,1002267952
1669848012,Device: id=0,TX,0.62273485507175,1757.971441015,1857.6090178265,2961080,1046217954
1669848012,Device: id=0,TX,1.9539095522259,5524.8021597861,5837.4276881422,3351883,1184345462
1669848012,Device: id=0,TX,2.9368398951829,8316.1961847518,8786.0905679811,3939604,1392375322
1669848012,Device: id=0,TX,0.59216722398103,1675.8700830715,1770.6168389085,4058040,1434272978
1669848013,Device: id=0,TX,1.9645718057875,5560.4602016417,5874.7916905677,4450970,1573290016
1669848013,Device: id=0,TX,2.9719678282204,8415.4820613322,8890.9969138474,5045559,1783746242
1669848013,Device: id=0,TX,0.73198963840286,2075.5025466229,2192.6208887674,5191996,1835647654
1669848013,Device: id=0,TX,0.87460270732136,2471.2777137699,2611.2141469414,5366938,1897437176
1669848013,Device: id=0,TX,1.8863435919206,5333.240071636,5635.0550463433,5744250,2030783474
1669848014,Device: id=0,TX,1.8945059436845,5355.3642253223,5658.4851763119,6123177,2164676700
1669848014,Device: id=0,TX,3.0547688710109,8654.1210156425,9142.8840350042,6734428,2381134980
1669848014,Device: id=0,TX,0.39966324317235,1133.7429214163,1197.6890403238,6814365,2409480096
1669848014,Device: id=0,TX,0.95214169351712,2682.1074490809,2834.4501200436,7004802,2476535832
1669848014,Device: id=0,TX,2.515284880582,7119.0737541316,7521.5193350247,7507870,2654516576
1669848015,Device: id=0,TX,1.3337488216464,3762.386817748,3975.7866292114,7774624,2748577740
1669848015,Device: id=0,TX,2.5662190682146,7251.6749696958,7662.2700206101,8287938,2929894406
1669848015,Device: id=0,TX,1.2212511177718,3474.1105747394,3669.5107535829,8532195,3016749580
1669848015,Device: id=0,TX,1.7525534230943,4952.6100807082,5233.0186284033,8882729,3140573068
1669848015,Device: id=0,TX,2.5880127973426,7298.7806802433,7712.8627278182,9400392,3323063892
1669848016,Device: id=0,TX,2.3634514517512,6680.8946860673,7059.0469183475,9873092,3490089690
1669848016,Device: id=0,TX,3.0048244062812,8496.9747667408,8977.7466717458,10474116,3702534956
1669848016,Device: id=0,TX,2.6850798036497,7589.8896530618,8019.5024216457,11011176,3892297758
1669848016,Device: id=0,TX,2.6154038705868,7406.676827689,7825.1414469829,11534350,4077497680
1669848016,Device: id=0,TX,1.2251449953638,3459.5148103267,3655.538009585,11779465,4164015906
1669848017,Device: id=0,TX,0.92301760712174,2602.7333973141,2750.4162144536,11964074,4229086172
1669848017,Device: id=0,TX,1.3905365493986,3934.693360294,4157.1792081978,12242216,4327465776
1669848017,Device: id=0,TX,2.1913836513198,6203.6896844124,6554.3110686236,12681006,4482739648
1669848017,Device: id=0,TX,0.5792328017633,1628.1347526236,1720.8120009057,12796855,4523443874
